No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,22	36,0	25,5	0,04	840	926	72,16	2-Propanone, 1-methoxy-	Ethanol, 2-methoxy-, acetate
3  	Benzene	7,72	16,1	11,2	0,02	646	926	38,57	1-Propanol, 2-methyl-	1,3-Hexadien-5-yne
4  	Cyclohexane	7,80	16,4	n.a.	0,02	n.a.	n.a.	n.a.	Cyclopentane, methyl-	1-Hexene
5  	Silanediol, dimethyl-	8,27	17,4	12,1	0,02	942	945	98,10	Propane, 2-chloro-2-nitro-	Trimethylsilyl fluoride
6  	Methyl methacrylate	9,05	57,4	40,8	0,07	921	922	93,70	Cyclopropanecarboxylic acid, methyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
8  	Disulfide, dimethyl	10,33	42,8	30,3	0,05	950	952	98,80	Dimethyl sulfone	Methanesulfonylacetic acid
9  	Toluene-D8	11,06	106,9	106,9	0,18	0	0	0,00	1,4-Di(methyl-d3)benzene-d4	Ethyl 1-methylpipecolinate
11  	2-Propenoic acid, 2-methyl-	11,67	24,9	17,5	0,03	862	878	43,64	2-Butenoic acid, (E)-	Isocrotonic acid
12  	1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane	11,92	22,1	15,5	0,03	635	637	52,57	4-Ethylbenzamide	1,1,3,3-Tetramethyl-1,3-bis[(2Z)-pent-2-en-1-yloxy]disiloxane
14  	Ethylbenzene	15,58	37,5	n.a.	0,05	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
16  	Benzene, 1,3-dimethyl-	16,03	148,2	106,0	0,18	952	952	40,20	o-Xylene	p-Xylene
17  	Benzene, 1,3-dimethyl-	16,10	43,5	n.a.	0,06	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
18  	Benzene, 1,3-dimethyl-	17,22	79,0	n.a.	0,11	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
21  	Benzaldehyde	20,86	215,3	154,2	0,26	930	933	78,30	Phenylglyoxal	Benzoyl bromide
22  	Cyclotrisiloxane, hexamethyl-	20,97	60,2	42,9	0,07	722	789	51,11	Arsenous acid, tris(trimethylsilyl) ester	Silane, triethyl(2-phenylethoxy)-
23  	Benzene, 1,2,4-trimethyl-	21,22	34,1	24,1	0,04	934	939	26,55	Benzene, 1,2,3-trimethyl-	Benzene, 1-ethyl-3-methyl-
24  	Dimethyl trisulfide	21,30	21,2	14,8	0,03	874	899	98,64	Bis-(methylthio)-phosphine	S-Methyl methanethiosulphonate
25  	Cyclotetrasiloxane, octamethyl-	21,64	143,4	102,5	0,17	870	892	54,89	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
26  	Benzonitrile	21,94	44,0	31,2	0,05	946	946	77,15	2-Ethynyl pyridine	Tricyclo[3.1.0.0(2,4)]hex-3-ene-3-carbonitrile
27  	Benzene, 1,2,4-trimethyl-	22,44	187,3	134,1	0,23	938	944	26,19	Benzene, 1-ethyl-4-methyl-	Benzene, 1,2,3-trimethyl-
28  	Octanal	22,76	14,4	9,9	0,02	857	871	72,05	2-Octen-1-ol, (E)-	2-Octen-1-ol
29  	1-Propanol, 2-(2-methoxypropoxy)-	23,02	19,5	13,6	0,02	777	783	58,31	2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-	1-Propanol, 2-(2-methoxy-1-methylethoxy)-
30  	2-Hydroxyethyl methacrylate	23,10	70,6	50,3	0,09	785	816	41,70	2-Propenoic acid, 2-methyl-, propyl ester	1-Octen-4-ol
31  	4-Cyanocyclohexene	23,54	40,1	28,4	0,05	915	916	82,18	Cyclohexen-1-carbonitrile	Cyclopentanecarbonitrile, 3-methylene-
32  	Propane, 1,2-dimethoxy-	23,68	59,0	42,0	0,07	734	781	16,40	1-(1-Methoxypropan-2-yloxy)propan-2-yl acetate	2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-
33  	Benzene, 1-ethyl-3-methyl-	23,72	43,5	30,8	0,05	905	912	23,35	Benzene, 1-ethyl-2-methyl-	Benzene, 1,2,4-trimethyl-
34  	1-Hexanol, 2-ethyl-	23,89	48,2	34,2	0,06	911	918	60,79	2-Propyl-1-pentanol	2-Ethyl-1-hexanol
35  	Benzyl alcohol	24,20	351,7	252,1	0,43	940	941	75,31	Phenol, 3-methyl-	L-Arginine, N2-[(phenylmethoxy)carbonyl]-
36  	Benzene, 1-propenyl-	24,36	38,5	27,2	0,05	782	828	26,62	Benzene, 1-ethenyl-2-methyl-	Benzene, 2-propenyl-
39  	Acetophenone	25,64	16,5	11,4	0,02	858	890	35,36	1-Pentanone, 1-phenyl-	?-Chlorobutyrophenone
44  	Benzoic acid, methyl ester	26,80	181,6	130,0	0,22	926	927	71,05	Benzoic acid, hydrazide	Ethanone, 2-hydroxy-1-phenyl-
45  	Undecane	26,92	48,9	34,7	0,06	663	769	9,42	Decane	3-Heptanol, 4-methyl-
46  	Nonanal	27,09	42,4	30,0	0,05	898	900	63,12	2-Nonen-1-ol	2-Nonen-1-ol, (E)-
48  	Ethanol, 2-[2-(2-methoxyethoxy)ethoxy]-	27,45	78,6	56,0	0,10	729	732	35,38	Ethane, 1,1'-oxybis[2-methoxy-	Methanol, TMS derivative
50  	2-Propanol, 1-(2-butoxyethoxy)-	27,68	19,3	13,4	0,02	548	654	7,25	3,6,9,12-Tetraoxahexadecan-1-ol	2-Pentanol, 2,3-dimethyl-
51  	1,4-Dioxane, 2,6-dimethyl-	27,78	20,3	14,2	0,02	582	646	7,26	Oxirane, [(1-methylethoxy)methyl]-	3-Pentanol, 3-ethyl-2-methyl-
52  	Cyclopentasiloxane, decamethyl-	28,08	640,8	459,6	0,78	896	899	96,36	2,6-Dihydroxybenzoic acid, 3TMS derivative	3,4-Dihydroxyphenylglycol, 4TMS derivative
54  	Hexanoic acid, 2-methyl-2-propyl-, methyl ester	28,40	77,1	55,0	0,09	799	830	82,93	Pentanoic acid, 4,4-dimethyl-3-oxo-, methyl ester	1-Octanol, 2,2-dimethyl-
55  	Hexanoic acid, 2-ethyl-, methyl ester	28,60	65,5	46,6	0,08	703	706	20,85	Butanoic acid, 2-ethyl-, methyl ester	Undecanoic acid, 2-ethyl-, methyl ester
56  	5-Methyl-3-propylhexanoic acid, methyl ester	28,74	155,6	111,3	0,19	684	693	21,37	Neodecanoic acid	Eicosanoic acid, 2-ethyl-2-methyl-, methyl ester
57  	Hexanoic acid, 2-ethyl-, methyl ester	28,91	91,1	65,0	0,11	696	700	24,12	Butanoic acid, 2,2-dimethyl-3-oxo-, methyl ester	Butanoic acid, 2-ethyl-2,3,3-trimethyl-
59  	Hexanoic acid, 2-ethyl-, ethyl ester	29,04	57,1	40,6	0,07	678	689	20,22	Butanoic acid, 3,3-dimethyl-2-(1-methylethyl)-, methyl ester	5-Methyl-3-propylhexanoic acid, methyl ester
60  	5-Methyl-3-propylhexanoic acid, methyl ester	29,22	68,9	49,1	0,08	636	664	13,24	Eicosanoic acid, 2-ethyl-2-methyl-, methyl ester	Hexanoic acid, 2-ethyl-, ethyl ester
