No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	Acetone	5,21	2232,4	1641,6	9,79	917	923	73,83	Oxirane, methyl-, (S)-	Propylene oxide
2  	2(3H)-Furanone, dihydro-3,5-dimethyl-	5,94	14,1	10,0	0,06	803	842	19,95	Cyclopentane	1-Pentene
3  	2-Butanone	6,33	29,2	21,1	0,13	933	955	92,96	2-Hexanone, 3,4-dimethyl-	2-Heptanone, 3-methyl-
4  	n-Hexane	6,37	44,0	32,0	0,19	909	918	59,78	2-Ethyl-oxetane	Butyl isocyanatoacetate
5  	Ethyl Acetate	6,61	473,7	348,0	2,08	956	956	93,49	CH3C(O)CH2CH2OH	n-Propyl acetate
6  	Cyclopentane, methyl-	6,98	18,0	12,8	0,08	874	884	45,09	Cyclobutane, ethyl-	Cyclopropane, 1-ethyl-2-methyl-, cis-
7  	1-Butanol	7,69	792,2	n.a.	2,77	n.a.	n.a.	n.a.	Formic acid, butyl ester	Butane, 1-chloro-
8  	Methyl methacrylate	9,05	101,0	73,9	0,44	930	930	91,82	Cyclopropanecarboxylic acid, methyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
10  	Propylene Glycol	10,03	22,1	15,8	0,09	872	899	70,64	(S)-(+)-1,2-Propanediol	R-(-)-1,2-propanediol
11  	Toluene-D8	11,06	106,9	106,9	0,64	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
12  	Toluene	11,22	4475,5	n.a.	19,63	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
14  	Acetic acid, butyl ester	13,16	1099,9	808,6	4,82	952	957	94,23	Isobutyl acetate	Acetic acid, hexyl ester
15  	2-Propanol, 1-(2-propenyloxy)-	14,68	17,0	12,1	0,07	841	846	83,46	Ethanol, 2-(2-propenyloxy)-	Ethanol, 2-[2-(2-propenyloxy)ethoxy]-
