No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,20	1872098,0	866,3	6,57	953	957	88,14	Oxirane, methyl-, (S)-	Propylene oxide
2  	2-Propanol, 1,3-dichloro-	5,61	9267,9	4,3	0,03	659	670	39,80	Methanesulfonic anhydride	Methanesulfonyl chloride
3  	Carbon disulfide	5,67	9491,4	4,4	0,03	772	823	93,90	Thiourea	4,4'-Diisothiocyanatostilbene-2,2'-disulfonic acid
4  	Silanol, trimethyl-	5,91	18732,8	8,7	0,07	840	846	69,83	Ethanol, 2-(trimethylsilyl)-	Propanoic acid, 2,3-dihydroxy-
5  	2-Butanone	6,33	31973,6	14,8	0,11	928	952	92,49	2-Hexanone, 3,4-dimethyl-	2,4-Pentanedione, 3-methyl-
6  	n-Hexane	6,37	52225,3	24,2	0,18	903	913	58,87	2-Ethyl-oxetane	Pentane, 3-methyl-
7  	Ethyl Acetate	6,61	258410,9	119,6	0,91	937	937	91,71	CH3C(O)CH2CH2OH	Acetic anhydride
8  	Cyclopentane, methyl-	6,98	17811,0	8,2	0,06	870	880	34,51	Cyclobutane, ethyl-	Cyclopropane, 1-ethyl-2-methyl-, cis-
9  	1-Butanol	7,70	271,6	n.a.	1,22	n.a.	n.a.	n.a.	Formic acid, butyl ester	2(3H)-Furanone, dihydro-3-methyl-
10  	Methyl methacrylate	9,05	88067,0	40,8	0,31	922	923	92,22	Cyclopropanecarboxylic acid, methyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
11  	Propylene Glycol	10,03	20438,2	9,5	0,07	904	904	70,95	R-(-)-1,2-propanediol	(S)-(+)-1,2-Propanediol
12  	Toluene-D8	11,06	106,9	106,9	0,81	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
13  	Toluene	11,23	6546107,1	n.a.	22,97	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
14  	Acetic acid, butyl ester	13,16	611768,1	283,1	2,15	941	960	94,16	Isobutyl acetate	Pentanoic acid, 4-oxo-
15  	2-Propanol, 1-(2-propenyloxy)-	14,68	15489,6	7,2	0,05	835	843	85,88	Ethanol, 2-(2-propenyloxy)-	Ethanol, 2-[2-(2-propenyloxy)ethoxy]-
16  	Ethylbenzene	15,58	189,7	n.a.	1,19	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
17  	1-Methoxy-2-propyl acetate	15,68	31201,7	14,4	0,11	863	929	87,93	1-Propen-2-ol, acetate	12-Crown-4
18  	Benzene, 1,3-dimethyl-	16,03	972325,8	449,9	3,41	958	958	44,44	o-Xylene	p-Xylene
19  	Benzene, 1,3-dimethyl-	16,10	212,0	n.a.	1,35	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
20  	Benzene, 1,3-dimethyl-	17,22	185,4	n.a.	1,16	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
21  	2-Propanol, 1-butoxy-	19,61	11077,1	5,1	0,04	716	806	55,14	2-Propanol, 1-(2-methylpropoxy)-	1,3-Propanediol, 2-(hydroxymethyl)-2-nitro-
22  	Benzene, 1-chloro-4-methyl-	20,69	789960,0	365,5	2,77	937	938	44,22	Benzene, 1-chloro-3-methyl-	Benzene, 1-chloro-2-methyl-
23  	Benzaldehyde	20,87	35885,8	16,6	0,13	890	932	72,82	Phenylglyoxal	Benzoyl bromide
24  	Cyclotetrasiloxane, octamethyl-	21,64	30964,8	14,3	0,11	856	890	56,72	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
