No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3		
1  	Acetone	5,21	128,7	92,0	0,57	933	944	88,85	Butane	1-Propen-2-ol, acetate
4  	2-Butanone	6,32	609,6	436,9	2,70	929	955	90,47	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
5  	Ethyl Acetate	6,62	18,1	12,6	0,08	843	845	83,51	CH3C(O)CH2CH2OH	n-Propyl acetate
7  	Benzene	7,71	120,4	n.a.	0,45	n.a.	n.a.	n.a.	1,3-Hexadien-5-yne	2,4-Hexadiyne
8  	3-Buten-2-one, 3-methyl-	7,95	129,6	92,6	0,57	888	888	52,19	Ethanone, 1-cyclopropyl-	3-Penten-2-one, (E)-
9  	Methyl methacrylate	9,05	51,5	36,6	0,23	933	935	93,85	Cyclopropanecarboxylic acid, methyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
10  	Toluene-D8	11,05	106,9	106,9	0,66	0	0	0,00	1,4-Di(methyl-d3)benzene-d4	Cyclohexanecarboxylic acid, 1-amino-
11  	Toluene	11,22	1116,2	n.a.	4,95	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
12  	Propane, 1,3-dichloro-	12,00	128,4	91,7	0,57	953	954	93,28	1-Propene, 2-chloro-	Allyl chloride
13  	Cyclopentanone	12,20	27,9	19,6	0,12	922	924	76,69	2-Hexene	2-Ethylacrolein
15  	Cyclotrisiloxane, hexamethyl-	13,18	60,9	43,3	0,27	740	806	84,17	Arsenous acid, tris(trimethylsilyl) ester	1,4-Bis(trimethylsilyl)benzene
16  	Cyclohexene, 4-ethenyl-	14,32	614,4	440,3	2,72	906	906	56,02	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
18  	Ethylbenzene	15,58	59,6	n.a.	0,30	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
19  	Benzene, 1,3-dimethyl-	16,03	58,0	41,2	0,25	933	935	46,39	o-Xylene	p-Xylene
20  	Benzene, 1,3-dimethyl-	16,10	23,8	n.a.	0,11	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
21  	Styrene	17,15	728,2	521,9	3,23	972	972	78,73	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
22  	Cyclohexanone	17,32	14,1	n.a.	0,06	n.a.	n.a.	n.a.	Cyclopentanone, 2-methyl-	Cyclopentanone, 3-methyl-
30  	Cyclohexanone, 4-methyl-	20,67	127,9	91,4	0,56	714	782	32,32	4-Octene, (E)-	4-Octene, (Z)-
31  	Benzaldehyde	20,86	22,7	15,9	0,10	935	939	75,83	Phenylglyoxal	Benzeneacetonitrile, a-hydroxy-
32  	Cyclotetrasiloxane, octamethyl-	21,64	200,3	143,3	0,89	883	902	60,06	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
