No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	Acetone	5,21	520,9	371,9	0,25	948	953	91,91	Oxirane, methyl-, (S)-	Ethene, methoxy-
2  	Acetic acid	6,19	287,7	205,2	0,14	817	895	77,36	Ammonium acetate	Hydrazine, ethyl-
3  	2-Butanone	6,33	62,5	44,3	0,03	917	956	90,71	2-Hexanone, 3,4-dimethyl-	5,9-Dodecadien-2-one, 6,10-dimethyl-, (E,E))-
4  	Isopropyl Alcohol	6,57	32,9	23,2	0,02	792	829	32,47	Propanoic acid, 2-hydroxy-, methyl ester, (±)-	Acetoin
5  	Ethyl Acetate	6,61	113,4	80,6	0,05	900	900	92,51	CH3C(O)CH2CH2OH	n-Propyl acetate
6  	2-Propanone, 1-hydroxy-	7,65	1259,2	899,5	0,60	892	892	74,28	Acetic acid, methyl ester	Acetic anhydride
7  	Benzene	7,71	303,6	n.a.	0,12	n.a.	n.a.	n.a.	1-Propanol, 2-methyl-	1,3-Hexadien-5-yne
8  	Methyl isobutyrate	8,28	72,6	51,5	0,03	852	859	89,84	Butanoic acid, methyl ester	Butyric acid hydrazide
9  	Furan, 2,5-dimethyl-	8,92	62,8	44,5	0,03	933	933	97,31	1H-Pyrazole, 1,3-dimethyl-	3,5-Dimethylpyrazole
10  	Methyl methacrylate	9,05	5170,5	3695,0	2,46	949	949	95,36	2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
11  	Propanoic acid, 2-oxo-, methyl ester	9,62	106,3	75,6	0,05	937	938	94,57	Acetic anhydride	Hydrogen azide
12  	Propylene Glycol	10,04	52,6	37,2	0,02	940	944	78,72	R-(-)-1,2-propanediol	(S)-(+)-1,2-Propanediol
13  	Toluene-D8	11,06	106,9	106,9	0,07	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
14  	Toluene	11,22	20,4	n.a.	0,01	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
15  	2-Butenoic acid, (E)-	12,71	2819,9	2015,0	1,34	791	820	35,03	2-Propenoic acid, 2-methyl-	Crotonic acid
16  	2-Butenoic acid, (E)-	12,97	2483,2	1774,4	1,18	876	907	42,73	Crotonic acid	2-Propenoic acid, 2-methyl-
17  	Cyclotrisiloxane, hexamethyl-	13,18	1413,0	1009,5	0,67	818	916	90,50	Arsenous acid, tris(trimethylsilyl) ester	Tris(tert-butyldimethylsilyloxy)arsane
18  	2-Propenoic acid, 2-methyl-	13,22	183,9	131,1	0,09	726	871	40,46	2-Butenoic acid, (E)-	Crotonic acid
19  	2-Propanol, 1-(2-propenyloxy)-	14,69	24,9	17,4	0,01	833	841	88,74	Ethanol, 2-(2-propenyloxy)-	Ethanol, 2-[2-(2-propenyloxy)ethoxy]-
20  	Butanoic acid, 2-hydroxy-2-methyl-, methyl ester	14,85	26,7	18,7	0,01	669	691	12,28	2-Methyoxirane-2-carboxylic acid, methyl ester	3-Heptanol, 3-methyl-
21  	3-Hexenoic acid	15,22	16,4	11,3	0,01	655	751	15,09	3-Hexenoic acid, methyl ester	2-Hexanone, 3,4-dimethyl-
22  	Ethylbenzene	15,57	107,1	n.a.	0,06	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
23  	Benzene, 1,3-dimethyl-	16,03	317,4	226,4	0,15	932	933	31,51	o-Xylene	p-Xylene
24  	Benzene, 1,3-dimethyl-	16,10	92,2	n.a.	0,05	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
25  	Dimethadione	16,35	29,4	20,6	0,01	761	788	77,02	2-Pentanone, 4-hydroxy-4-methyl-	Oxirane, tetramethyl-
26  	3-Heptanone	16,73	45,2	31,9	0,02	850	850	43,70	3-Hexanone, 5-methyl-	3-Pentanone, 2,2-dimethyl-
27  	Cyclohexanol	16,94	75,7	53,7	0,04	947	947	68,83	Cyclopentanol, 2-methyl-	Cyclopentanol, 2-methyl-, cis-
29  	o-Xylene	17,22	114,7	n.a.	0,06	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	Ethylbenzene
30  	Penicillamine	19,50	60,0	42,5	0,03	573	599	14,14	Propanoic acid, propyl ester	Ethyl N-hydroxyacetimidate
