No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,21	617,5	440,1	0,17	948	953	91,90	Oxirane, methyl-, (S)-	Ethene, methoxy-
2  	Acetic acid	6,16	155,2	110,3	0,04	883	912	81,41	Ammonium acetate	Acetic acid, anhydride with formic acid
3  	2-Butanone	6,33	62,1	43,9	0,02	926	955	93,18	2-Hexanone, 3,4-dimethyl-	5,9-Dodecadien-2-one, 6,10-dimethyl-, (E,E))-
4  	Isopropyl Alcohol	6,57	57,6	40,7	0,02	795	829	48,04	(S)-Isopropyl lactate	Propanoic acid, 2-hydroxy-, methyl ester, (±)-
5  	Ethyl Acetate	6,61	143,0	101,6	0,04	899	899	90,93	CH3C(O)CH2CH2OH	n-Propyl acetate
6  	2-Propanone, 1-hydroxy-	7,66	1029,9	734,2	0,28	887	887	77,95	Acetic acid, methyl ester	Acetic anhydride
7  	Benzene	7,71	437,4	n.a.	0,10	n.a.	n.a.	n.a.	1,3-Hexadien-5-yne	1,5-Hexadiyne
8  	Methyl isobutyrate	8,27	93,9	66,6	0,03	881	895	91,70	Butanoic acid, methyl ester	Butyric acid hydrazide
9  	Furan, 2,5-dimethyl-	8,92	76,8	54,4	0,02	929	929	95,53	1H-Pyrazole, 1,3-dimethyl-	2,4-Dimethylfuran
10  	Methyl methacrylate	9,06	9934,9	7085,8	2,69	936	936	95,69	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester	2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester
11  	Propanoic acid, 2-oxo-, methyl ester	9,62	127,4	90,4	0,03	962	963	93,86	Acetic anhydride	Hydrogen azide
12  	Propylene Glycol	10,05	50,4	35,5	0,01	912	926	74,71	(S)-(+)-1,2-Propanediol	R-(-)-1,2-propanediol
13  	Toluene-D8	11,06	106,9	106,9	0,04	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
14  	Toluene	11,23	31,9	n.a.	0,01	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
15  	2-Butenoic acid, (E)-	12,72	2156,4	1537,7	0,58	828	835	36,66	2-Propenoic acid, 2-methyl-	Crotonic acid
16  	2-Butenoic acid, (E)-	12,97	2399,3	1710,9	0,65	878	887	44,58	2-Propenoic acid, 2-methyl-	Crotonic acid
17  	Isobutyl acetate	13,17	1694,0	1207,9	0,46	590	729	21,59	Acetic acid, butyl ester	Hydroxyproline
18  	2-Butenoic acid, (E)-	13,29	670,1	477,6	0,18	895	901	50,89	2-Propenoic acid, 2-methyl-	Crotonic acid
19  	2-Butenoic acid, (E)-	13,46	3001,2	2140,3	0,81	907	912	51,39	2-Propenoic acid, 2-methyl-	Crotonic acid
20  	2-Butenoic acid, (E)-	13,67	2056,2	1466,2	0,56	908	912	56,52	2-Propenoic acid, 2-methyl-	Crotonic acid
21  	2-Butenoic acid, (E)-	13,74	1368,0	975,3	0,37	907	911	44,52	2-Propenoic acid, 2-methyl-	Crotonic acid
22  	2-Butenoic acid, (E)-	13,81	1151,8	821,1	0,31	900	904	39,51	2-Propenoic acid, 2-methyl-	Crotonic acid
23  	2-Butenoic acid, (E)-	13,83	254,0	180,8	0,07	903	907	42,74	2-Propenoic acid, 2-methyl-	Crotonic acid
24  	2-Butenoic acid, (E)-	13,85	382,1	272,1	0,10	899	903	39,46	2-Propenoic acid, 2-methyl-	Crotonic acid
25  	2-Propanol, 1-(2-propenyloxy)-	14,69	47,6	33,6	0,01	815	817	79,50	Ethanol, 2-(2-propenyloxy)-	Ethylene glycol monoisobutyl ether
26  	2-Methyoxirane-2-carboxylic acid, methyl ester	14,85	63,9	45,2	0,02	715	754	47,99	Methyl 2-methoxypropenoate	2-Heptanol, 3-methyl-
27  	3-Hexenoic acid	15,22	20,6	14,3	0,01	674	768	13,95	3-Hexenoic acid, methyl ester	2-Octanone, 1-nitro-
28  	Ethylbenzene	15,57	224,2	n.a.	0,07	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
