No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	Acetone	5,21	593,6	430,8	3,06	948	953	91,86	Oxirane, methyl-, (S)-	Ethene, methoxy-
3  	2-Butanone	6,32	99,8	72,1	0,51	926	949	92,64	2-Hexanone, 3,4-dimethyl-	Propanal, 2-methyl-
4  	Ethyl Acetate	6,61	90,7	65,5	0,47	926	926	91,42	CH3C(O)CH2CH2OH	Methyl glyoxal
6  	1-Butanol	7,70	148,0	n.a.	0,63	n.a.	n.a.	n.a.	Formic acid, butyl ester	Oxetane, 2,3,4-trimethyl-, (2a,3a,4ß)-
7  	Methyl methacrylate	9,06	40,1	28,7	0,20	941	942	94,17	Cyclopropanecarboxylic acid, methyl ester	2-Propenoic acid, 2-methyl-, 3-hydroxypropyl ester
8  	Toluene-D8	11,06	106,9	106,9	0,76	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	1,4-Di(methyl-d3)benzene-d4
9  	Toluene	11,23	34,8	n.a.	0,18	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
11  	Acetic acid, butyl ester	13,17	233,8	169,4	1,20	829	942	91,78	Isobutyl acetate	Pentanoic acid, 4-oxo-
12  	Cyclohexene, 4-ethenyl-	14,32	55,6	40,0	0,28	929	930	68,58	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
13  	Ethylbenzene	15,57	100,4	n.a.	0,58	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
14  	Benzene, 1,3-dimethyl-	16,03	317,1	229,9	1,64	949	949	38,05	o-Xylene	p-Xylene
15  	Benzene, 1,3-dimethyl-	16,10	114,5	n.a.	0,68	n.a.	n.a.	n.a.	o-Xylene	p-Xylene
16  	3,4-Dimethylperhydro-1,3-oxazine	16,43	34,4	24,6	0,17	662	681	19,01	Oxazolidine, 2,4,4-trimethyl-	Morpholine, 2,6-dimethyl-, cis-
17  	Styrene	17,15	46,2	33,1	0,24	961	962	72,38	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
18  	Benzene, 1,3-dimethyl-	17,21	110,7	n.a.	0,64	n.a.	n.a.	n.a.	o-Xylene	Ethylbenzene
19  	Benzene, 1-chloro-4-methyl-	20,69	269,9	195,7	1,39	925	942	52,04	Benzene, 1-chloro-3-methyl-	Benzene, 1-chloro-2-methyl-
21  	Cyclotetrasiloxane, octamethyl-	21,64	153,8	111,3	0,79	892	909	62,51	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
22  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	21,75	28,1	20,0	0,14	926	927	37,52	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
23  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	22,42	20,9	14,8	0,11	877	907	35,81	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
25  	2-Hydroxyethyl methacrylate	23,10	41,7	29,9	0,21	900	902	75,52	2-Propenoic acid, 2-methyl-, propyl ester	1-Octen-4-ol
27  	Benzyl alcohol	24,21	64,4	46,4	0,33	930	936	72,79	N-a,N-?-Di-cbz-L-arginine	L-Arginine, N2-[(phenylmethoxy)carbonyl]-
28  	Nonanal	27,08	23,0	16,3	0,12	902	911	71,20	2-Nonen-1-ol	2-Nonen-1-ol, (E)-
29  	Cyclopentasiloxane, decamethyl-	28,08	25,5	18,1	0,13	854	863	94,24	2,6-Dihydroxybenzoic acid, 3TMS derivative	1,1,3,3,5,5,7,7,9,9-Decamethyl-9-(2-methylpropoxy)pentasiloxan-1-ol
30  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	28,63	41,9	30,1	0,21	814	817	42,74	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	Cyclohexanol, 1-methyl-4-(1-methylethyl)-
31  	Cyclohexanemethanol, a,a,4-trimethyl-	28,95	23,3	16,5	0,12	864	872	63,18	o-Menthan-8-ol	Cyclohexanemethanol, a,a,4-trimethyl-, cis-
33  	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, cis-	29,38	36,6	26,2	0,19	798	807	36,70	Cyclohexanol, 1-methyl-4-(1-methylethyl)-, trans-	dl-Menthol
36  	1,3-Propanediol, 2-methyl-2-phenyl-	30,31	1871,7	1359,1	9,67	741	767	21,04	Benzoic acid, 3,5-dimethyl-, (2,4-dimethylphenyl)methyl ester	Benzenepropanoic acid, 3-phenylpropyl ester
39  	Decanal	30,74	51,0	36,6	0,26	882	892	42,57	2-Decen-1-ol	Dodecanal
41  	Benzenemethanol, 2,5-dimethyl-	31,76	73,98	53,34	0,38	868	868	62,14	1-(2-Methylphenyl)ethanol	Benzyl alcohol, 2,3-dimethyl-
