No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
1  	Acetone	5,25	148,1	112,3	0,54	948	957	90,21	1-Propen-2-ol, acetate	Ethene, methoxy-
4  	2-Butanone	6,36	542,3	412,3	2,00	924	949	89,86	2-Hexanone, 3,4-dimethyl-	Propanal, 2-methyl-
5  	Ethyl Acetate	6,66	25,8	19,2	0,09	914	914	91,20	CH3C(O)CH2CH2OH	Methyl glyoxal
8  	Benzene	7,77	119,1	n.a.	0,35	n.a.	n.a.	n.a.	1,3-Hexadien-5-yne	2,4-Hexadiyne
9  	Ethanone, 1-cyclopropyl-	8,00	121,4	92,0	0,45	914	916	52,93	3-Buten-2-one, 3-methyl-	3-Penten-2-one, (E)-
10  	Propane	9,13	69,8	52,7	0,26	744	863	60,78	2-Propenoic acid, 2-methyl-, 2-aminoethyl ester, hydrochloride	Cyclopropyl carbinol
11  	Toluene-D8	11,12	106,9	106,9	0,52	0	0	0,00	1,4-Di(methyl-d3)benzene-d4	Ethene, 2-chloro-1,1-difluoro-
12  	Toluene	11,28	956,3	n.a.	3,53	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
14  	Propane, 1,3-dichloro-	12,06	121,5	92,0	0,45	956	957	92,13	1-Propene, 2-chloro-	Allyl chloride
15  	Cyclopentanone	12,26	29,2	21,8	0,11	936	941	85,08	2-Hexene, (Z)-	2-Butenal, 2-methyl-, (E)-
17  	Cyclotrisiloxane, hexamethyl-	13,24	78,7	59,4	0,29	817	869	90,54	Arsenous acid, tris(trimethylsilyl) ester	1,4-Bis(trimethylsilyl)benzene
19  	Cyclohexene, 4-ethenyl-	14,39	617,5	469,5	2,28	907	907	59,73	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
22  	Ethylbenzene	15,65	72,7	n.a.	0,28	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
23  	Benzene, 1,3-dimethyl-	16,10	47,6	n.a.	0,19	n.a.	n.a.	n.a.	p-Xylene	o-Xylene
24  	Benzene, 1,3-dimethyl-	16,17	20,5	n.a.	0,08	n.a.	n.a.	n.a.	p-Xylene	o-Xylene
25  	Styrene	17,22	584,8	n.a.	2,36	n.a.	n.a.	n.a.	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
28  	Benzene, 1-ethyl-2-methyl-	18,91	14,1	10,3	0,05	875	881	21,83	Benzene, 1-ethyl-3-methyl-	Benzene, 1-ethyl-4-methyl-
33  	Cyclohexanone, 4-methyl-	20,73	131,4	99,5	0,48	839	876	42,51	Cyclopentanone, 2,3-dimethyl-	4-Octene, (E)-
34  	Benzaldehyde	20,93	40,1	30,1	0,15	930	933	76,41	Phenylglyoxal	Benzeneacetonitrile, a-hydroxy-
36  	Cyclotetrasiloxane, octamethyl-	21,70	214,5	162,8	0,79	889	908	49,12	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
37  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	21,83	183,8	139,5	0,68	958	958	50,04	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
38  	1,3-Dioxolane, 2-(chloromethyl)-4-methyl-	22,04	43,1	32,4	0,16	587	600	31,92	Butanoic acid, 3-chloro-	Butanoic acid, 4-(3-nitrophenoxy)-
39  	1-Methyl-4-(1-methylethyl)-cyclohexane	22,49	121,6	92,1	0,45	931	945	46,92	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
40  	Decane	22,70	29,8	22,2	0,11	938	944	49,54	Undecane	Nonane
42  	4-Cyanocyclohexene	23,59	1021,8	777,2	3,77	906	906	79,88	Cyclohexen-1-carbonitrile	Cyclopentanecarbonitrile, 3-methylene-
