No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
1  	Acetone	5,25	51,7	38,8	0,19	930	948	88,06	Butane	1-Propen-2-ol, acetate
5  	2-Butanone	6,36	643,2	487,0	2,37	935	959	90,22	2-Hexanone, 3,4-dimethyl-	2-Propen-1-ol, 2-methyl-, acetate
9  	Benzene	7,77	101,4	n.a.	0,30	n.a.	n.a.	n.a.	2,4-Hexadiyne	1,3-Hexadien-5-yne
10  	3-Buten-2-one, 3-methyl-	8,00	134,4	101,5	0,49	902	902	67,23	Ethanone, 1-cyclopropyl-	3-Penten-2-one, (E)-
12  	Propane	9,13	78,9	59,4	0,29	731	868	63,57	2-Propenoic acid, 2-methyl-, 2-aminoethyl ester, hydrochloride	Cyclopropyl carbinol
14  	Toluene-D8	11,12	106,9	106,9	0,52	0	0	0,00	Ethene, 2-chloro-1,1-difluoro-	Cyclohexanecarboxylic acid, 1-amino-
15  	Toluene	11,29	1020,2	n.a.	3,76	n.a.	n.a.	n.a.	1,3,5-Cycloheptatriene	Spiro[2,4]hepta-4,6-diene
18  	Propane, 1,3-dichloro-	12,06	128,8	97,2	0,47	952	954	91,71	1-Propene, 2-chloro-	Allyl chloride
19  	Cyclopentanone	12,26	30,6	22,8	0,11	950	955	86,82	2-Butenal, 2-methyl-, (E)-	2-Hexene, (Z)-
21  	Cyclotrisiloxane, hexamethyl-	13,24	47,3	35,4	0,17	893	921	93,16	Arsenous acid, tris(trimethylsilyl) ester	Tris(tert-butyldimethylsilyloxy)arsane
23  	Cyclohexene, 4-ethenyl-	14,39	654,9	495,9	2,42	902	902	47,80	1,5-Cyclooctadiene	Bicyclo(3.2.1)oct-2-ene
25  	Ethylbenzene	15,65	64,4	n.a.	0,25	n.a.	n.a.	n.a.	Benzene, 1,3-dimethyl-	o-Xylene
26  	Benzene, 1,3-dimethyl-	16,10	21,0	n.a.	0,08	n.a.	n.a.	n.a.	p-Xylene	o-Xylene
28  	Styrene	17,22	599,1	n.a.	2,43	n.a.	n.a.	n.a.	1,3,5,7-Cyclooctatetraene	Bicyclo[4.2.0]octa-1,3,5-triene
31  	Benzene, 1-ethyl-2-methyl-	18,91	14,2	10,4	0,05	878	886	22,62	Benzene, (1-methylethyl)-	Benzene, 1-ethyl-4-methyl-
36  	Benzene, propyl-	20,49	21,9	16,2	0,08	936	945	82,87	Benzeneacetaldehyde	Ethanol, 2-[(phenylmethyl)amino]-
37  	Cyclohexanone, 4-methyl-	20,73	114,1	86,0	0,42	882	894	42,49	Cyclopentanone, 2,3-dimethyl-	3-Ethylcyclopentanone
38  	Benzaldehyde	20,93	22,7	16,8	0,08	910	923	64,76	Benzoyl bromide	Benzoyl chloride
40  	Cyclotetrasiloxane, octamethyl-	21,70	214,2	161,9	0,79	894	913	53,47	trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-	2,6-Dihydroxyacetophenone, 2TMS derivative
41  	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	21,82	191,7	144,9	0,71	961	961	58,06	1-Methyl-4-(1-methylethyl)-cyclohexane	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
42  	1,3-Dioxolane, 2-(chloromethyl)-4-methyl-	22,04	43,0	32,1	0,16	590	602	32,83	Butanoic acid, 4-(3-nitrophenoxy)-	1,3-Dioxolane, 2,2-dimethyl-
43  	1-Methyl-4-(1-methylethyl)-cyclohexane	22,49	128,3	96,8	0,47	931	945	44,74	Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-	Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-
44  	Decane	22,70	30,8	22,9	0,11	931	935	44,32	Undecane	Nonane
