File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1125
Injection Number	44
Position	154
Comment	Betaforce 9075L -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	3:37:04 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001017
Time Max. (min)	60.000327
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,707,992.916662
Signal Max.	11,291,955,169.814200
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.001017	n.a.	3,153,990.772896
3.004417	0.204	3,062,804.447399
3.007818	0.2041	2,990,380.011057
3.011220	0.2041	2,983,727.497487
3.014620	0.204	2,929,999.575521
3.018022	0.2041	2,862,193.202794
3.021423	0.2041	2,816,127.892816
3.024823	0.204	2,902,710.111524
3.028225	0.2041	2,895,440.039411
3.031627	0.2041	2,789,493.692817
3.035027	0.204	2,931,082.542993
3.038428	0.2041	2,897,753.394861
3.041830	0.2041	2,825,066.801714
3.045230	0.204	2,820,459.657665
3.048632	0.2041	2,698,473.695402
3.052033	0.2041	2,683,867.075941
3.055433	0.204	2,823,218.790484
3.058835	0.2041	2,874,550.689927
3.062237	0.2041	2,771,369.290997
3.065637	0.204	2,704,999.799409
3.069038	0.2041	2,634,078.470650
3.072440	0.2041	2,683,632.574208
3.075840	0.204	2,687,500.286972
3.079242	0.2041	2,628,006.507473
3.082643	0.2041	2,660,898.067670
3.086043	0.204	2,652,549.210224
3.089445	0.2041	2,603,413.768659
3.092847	0.2041	2,597,641.457357
3.096247	0.204	2,686,530.959030
3.099648	0.2041	2,746,837.931168
3.103050	0.2041	2,726,028.442126
3.106450	0.204	2,739,511.314778
3.109852	0.2041	2,663,776.550699
3.113253	0.2041	2,571,690.551430
3.116653	0.204	2,658,930.695097
3.120055	0.2041	2,729,399.665400
3.123457	0.2041	2,784,578.461898
3.126857	0.204	2,775,249.131853
3.130258	0.2041	2,693,863.925403
3.133660	0.2041	2,690,108.323125
3.137060	0.204	2,722,010.879463
3.140462	0.2041	2,732,002.336284
3.143863	0.2041	2,680,848.398837
3.147263	0.204	2,640,249.239928
3.150665	0.2041	2,637,234.461250
3.154067	0.2041	2,552,640.534800
3.157467	0.204	2,579,223.188045
3.160868	0.2041	2,681,921.000125
3.164270	0.2041	2,634,632.261750
3.167670	0.204	2,604,939.281508
3.171072	0.2041	2,669,927.757373
3.174473	0.2041	2,678,322.337321
3.177873	0.204	2,609,187.988949
3.181275	0.2041	2,557,354.361655
