File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1129
Injection Number	35
Position	145
Comment	3M DP6330 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/17/2026
Injection Time	5:42:10 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000520
Time Max. (min)	59.996430
Data Points	16759
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,702,656.518569
Signal Max.	6,296,826,717.134330
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000520	n.a.	2,652,157.716461
3.003920	0.204	2,636,794.510521
3.007322	0.2041	2,648,321.948577
3.010723	0.2041	2,596,613.161622
3.014123	0.204	2,527,682.285301
3.017525	0.2041	2,546,907.771290
3.020927	0.2041	2,536,279.176888
3.024327	0.204	2,484,228.286878
3.027728	0.2041	2,495,769.824188
3.031130	0.2041	2,527,115.647218
3.034530	0.204	2,563,057.783744
3.037932	0.2041	2,504,553.097007
3.041333	0.2041	2,471,249.351329
3.044733	0.204	2,540,814.354348
3.048135	0.2041	2,538,609.602295
3.051537	0.2041	2,518,438.586237
3.054937	0.204	2,537,559.368244
3.058338	0.2041	2,525,345.685786
3.061740	0.2041	2,426,100.233206
3.065140	0.204	2,427,803.904861
3.068542	0.2041	2,422,984.054601
3.071943	0.2041	2,421,095.390108
3.075343	0.204	2,450,169.908835
3.078745	0.2041	2,494,277.225856
3.082147	0.2041	2,547,430.622551
3.085547	0.204	2,454,418.645283
3.088948	0.2041	2,499,688.463973
3.092350	0.2041	2,596,307.883421
3.095750	0.204	2,472,764.756483
3.099152	0.2041	2,400,909.930315
3.102553	0.2041	2,498,013.103229
3.105953	0.204	2,428,673.166211
3.109355	0.2041	2,407,004.638587
3.112757	0.2041	2,533,876.880472
3.116157	0.204	2,598,327.283003
3.119558	0.2041	2,553,957.830272
3.122960	0.2041	2,454,580.769043
3.126360	0.204	2,488,154.081048
3.129762	0.2041	2,462,619.391785
3.133163	0.2041	2,410,688.300463
3.136563	0.204	2,430,413.982657
3.139965	0.2041	2,375,484.757612
3.143367	0.2041	2,491,107.401502
3.146767	0.204	2,589,301.198987
3.150168	0.2041	2,446,772.479315
3.153570	0.2041	2,445,968.586628
3.156972	0.2041	2,432,433.007059
3.160372	0.204	2,384,776.457129
3.163773	0.2041	2,437,332.522126
3.167175	0.2041	2,400,424.272351
3.170575	0.204	2,447,357.007958
3.173977	0.2041	2,499,439.962667
3.177378	0.2041	2,405,858.664526
3.180778	0.204	2,404,248.309256
3.184180	0.2041	2,419,559.512175
3.187582	0.2041	2,361,110.004970
3.190982	0.204	2,332,926.369302
3.194383	0.2041	2,361,134.917462
3.197785	0.2041	2,414,583.415262
3.201185	0.204	2,431,086.369036
3.204587	0.2041	2,374,537.367008
3.207988	0.2041	2,428,014.344185
3.211388	0.204	2,456,112.386280
3.214790	0.2041	2,431,056.949081
3.218192	0.2041	2,504,616.309236
3.221592	0.204	2,325,726.174022
3.224993	0.2041	2,259,302.443394
3.228395	0.2041	2,453,829.410344
3.231795	0.204	2,444,083.019531
3.235197	0.2041	2,320,245.723481
3.238598	0.2041	2,313,499.729136
3.241998	0.204	2,375,471.546406
3.245400	0.2041	2,390,400.911485
3.248802	0.2041	2,433,888.410135
3.252202	0.204	2,452,360.886800
3.255603	0.2041	2,414,089.834566
3.259005	0.2041	2,446,508.773857
3.262405	0.204	2,415,211.270568
3.265807	0.2041	2,379,991.761791
3.269208	0.2041	2,382,018.074035
3.272608	0.204	2,377,652.456749
3.276010	0.2041	2,436,103.038191
3.279412	0.2041	2,385,028.532702
3.282812	0.204	2,302,307.747022
3.286213	0.2041	2,320,986.719239
3.289615	0.2041	2,374,212.093762
3.293015	0.204	2,405,003.942779
3.296417	0.2041	2,376,946.847207
3.299818	0.2041	2,384,033.127095
3.303218	0.204	2,394,175.285812
3.306620	0.2041	2,397,418.499029
3.310022	0.2041	2,330,785.672035
3.313422	0.204	2,245,139.735790
3.316823	0.2041	2,212,102.387461
3.320225	0.2041	2,321,243.617699
3.323625	0.204	2,407,459.992223
3.327027	0.2041	2,328,234.848602
3.330428	0.2041	2,317,257.627067
3.333828	0.204	2,309,852.354085
3.337230	0.2041	2,339,881.985481
3.340632	0.2041	2,472,467.616916
3.344032	0.204	2,483,642.201761
3.347433	0.2041	2,387,777.582859
3.350835	0.2041	2,378,543.242991
3.354235	0.204	2,453,414.292972
3.357637	0.2041	2,376,249.662271
3.361038	0.2041	2,246,260.155562
3.364438	0.204	2,354,765.163057
3.367840	0.2041	2,459,329.909911
3.371242	0.2041	2,390,378.523804
3.374642	0.204	2,317,633.969826
3.378043	0.2041	2,285,268.313295
3.381445	0.2041	2,305,541.278941
3.384845	0.204	2,297,775.774785
3.388247	0.2041	2,363,157.865915
3.391648	0.2041	2,451,566.181066
3.395048	0.204	2,392,209.280876
3.398450	0.2041	2,411,614.149862
3.401852	0.2041	2,476,535.160365
3.405252	0.204	2,428,571.292303
3.408653	0.2041	2,314,656.610418
3.412055	0.2041	2,299,169.689956
3.415455	0.204	2,370,026.675744
3.418857	0.2041	2,359,064.282450
3.422258	0.2041	2,391,161.563111
3.425658	0.204	2,401,361.316833
3.429060	0.2041	2,345,624.987589
3.432462	0.2041	2,362,321.281599
3.435862	0.204	2,391,160.345190
3.439263	0.2041	2,326,131.686672
3.442665	0.2041	2,260,904.977535
3.446065	0.204	2,242,538.159000
3.449467	0.2041	2,300,967.690194
3.452868	0.2041	2,465,764.019997
3.456268	0.204	2,436,978.212797
3.459670	0.2041	2,373,946.369554
3.463072	0.2041	2,419,372.960273
3.466472	0.204	2,386,004.183533
3.469873	0.2041	2,312,507.502337
3.473275	0.2041	2,242,974.932707
3.476675	0.204	2,338,428.524828
3.480077	0.2041	2,429,328.650444
3.483478	0.2041	2,319,367.087810
3.486878	0.204	2,304,254.246597
3.490280	0.2041	2,287,113.674037
3.493682	0.2041	2,228,440.227508
3.497082	0.204	2,314,573.231971
3.500483	0.2041	2,378,262.250117
3.503885	0.2041	2,332,589.928119
3.507285	0.204	2,249,471.238998
3.510687	0.2041	2,285,015.183972
3.514088	0.2041	2,459,516.616685
3.517488	0.204	2,485,115.374855
3.520890	0.2041	2,373,751.465409
3.524292	0.2041	2,276,467.719361
3.527693	0.2041	2,216,178.609622
3.531093	0.204	2,330,021.068123
3.534495	0.2041	2,415,627.229292
3.537897	0.2041	2,334,105.194188
3.541297	0.204	2,359,860.804552
3.544698	0.2041	2,397,929.791379
3.548100	0.2041	2,245,494.570377
3.551500	0.204	2,224,044.344780
3.554902	0.2041	2,306,887.118495
3.558303	0.2041	2,244,824.369722
3.561703	0.204	2,282,128.470514
3.565105	0.2041	2,301,189.499627
3.568507	0.2041	2,226,816.403723
3.571907	0.204	2,260,931.245702
3.575308	0.2041	2,281,585.272182
3.578710	0.2041	2,323,228.120199
3.582110	0.204	2,273,164.769535
3.585512	0.2041	2,215,874.182589
3.588913	0.2041	2,354,425.215450
3.592313	0.204	2,311,978.670819
3.595715	0.2041	2,215,842.347614
3.599117	0.2041	2,297,427.454773
3.602517	0.204	2,284,021.990813
3.605918	0.2041	2,234,124.776539
3.609320	0.2041	2,285,026.190473
3.612720	0.204	2,369,500.097026
3.616122	0.2041	2,362,911.066752
