File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1127
Injection Number	41
Position	151
Comment	Terroson EP 6055 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	12:19:03 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000685
Time Max. (min)	59.999997
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,995,061.855691
Signal Max.	4,573,773,407.227210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000685	n.a.	3,338,254.556984
3.004087	0.2041	3,229,836.503611
3.007488	0.2041	3,326,188.993269
3.010888	0.204	3,461,324.588212
3.014290	0.2041	3,285,549.228179
3.017692	0.2041	3,203,432.814015
3.021092	0.204	3,158,807.534703
3.024493	0.2041	3,158,046.900980
3.027895	0.2041	3,283,383.310999
3.031295	0.204	3,242,411.193725
3.034697	0.2041	3,141,069.430847
3.038098	0.2041	3,142,764.777290
3.041498	0.204	3,221,968.212859
3.044900	0.2041	3,193,671.847785
3.048302	0.2041	3,087,196.490604
3.051702	0.204	3,176,094.247336
3.055103	0.2041	3,213,579.587116
3.058505	0.2041	3,143,991.691595
3.061905	0.204	3,173,988.944746
3.065307	0.2041	3,060,817.558123
3.068708	0.2041	3,050,017.999515
3.072108	0.204	3,193,023.761986
3.075510	0.2041	3,199,030.337204
3.078912	0.2041	3,133,289.058700
3.082312	0.204	3,089,837.838473
3.085713	0.2041	3,104,499.985692
3.089115	0.2041	3,088,168.279736
3.092515	0.204	3,097,220.192026
3.095917	0.2041	3,070,410.876336
3.099318	0.2041	3,073,464.907055
3.102718	0.204	3,077,846.541805
3.106120	0.2041	3,031,171.713061
3.109522	0.2041	2,977,437.000402
3.112922	0.204	2,871,347.084577
3.116323	0.2041	2,845,757.588865
3.119725	0.2041	3,001,367.874892
3.123125	0.204	2,985,532.008754
3.126527	0.2041	2,883,430.094253
3.129928	0.2041	3,036,297.793305
3.133328	0.204	3,155,829.725551
3.136730	0.2041	3,055,422.079459
3.140132	0.2041	3,024,899.710779
3.143532	0.204	3,068,716.082935
3.146933	0.2041	2,986,545.542235
3.150335	0.2041	2,944,455.377522
3.153735	0.204	2,965,554.099129
3.157137	0.2041	2,994,838.884303
3.160538	0.2041	3,021,464.525322
3.163938	0.204	2,935,488.671247
3.167340	0.2041	2,803,158.208084
3.170742	0.2041	2,854,935.095107
3.174142	0.204	2,951,739.474798
3.177543	0.2041	2,976,272.751382
3.180945	0.2041	2,970,987.995054
3.184345	0.204	2,913,777.492198
3.187747	0.2041	2,860,881.724106
3.191148	0.2041	2,843,835.755086
3.194548	0.204	2,877,346.674257
3.197950	0.2041	2,915,482.263475
3.201352	0.2041	2,985,946.499098
3.204752	0.204	2,983,481.614278
3.208153	0.2041	2,911,863.000756
3.211555	0.2041	2,942,962.993890
3.214955	0.204	3,023,288.261408
3.218357	0.2041	3,021,684.515818
3.221758	0.2041	2,899,927.758496
3.225158	0.204	2,825,240.565561
3.228560	0.2041	2,920,774.805197
3.231962	0.2041	2,984,001.582981
3.235362	0.204	2,925,408.295249
3.238763	0.2041	2,845,423.907274
3.242165	0.2041	2,855,635.261419
3.245565	0.204	2,827,818.297300
3.248967	0.2041	2,781,688.894459
3.252368	0.2041	2,849,576.163351
3.255768	0.204	2,840,992.163589
3.259170	0.2041	2,847,484.083024
3.262572	0.2041	2,850,325.510772
3.265972	0.204	2,849,368.583609
3.269373	0.2041	2,963,321.936573
3.272775	0.2041	2,928,212.532701
3.276175	0.204	2,828,158.971720
3.279577	0.2041	2,865,065.410627
3.282978	0.2041	2,858,997.642024
3.286378	0.204	2,832,306.718882
3.289780	0.2041	2,834,497.852468
3.293182	0.2041	2,799,527.626867
3.296582	0.204	2,753,029.550390
3.299983	0.2041	2,773,050.241457
3.303385	0.2041	2,888,850.534716
3.306785	0.204	2,790,995.077214
3.310187	0.2041	2,681,307.181642
3.313588	0.2041	2,855,621.753651
3.316990	0.2041	2,910,080.500329
3.320390	0.204	2,807,720.936442
3.323792	0.2041	2,797,990.478889
3.327193	0.2041	2,838,089.433574
3.330593	0.204	2,799,270.974507
3.333995	0.2041	2,733,814.903902
3.337397	0.2041	2,785,868.895082
3.340797	0.204	2,860,225.310734
3.344198	0.2041	2,843,610.726440
3.347600	0.2041	2,747,072.284636
3.351000	0.204	2,687,637.913791
3.354402	0.2041	2,800,640.161448
3.357803	0.2041	2,739,612.189028
3.361203	0.204	2,571,570.198699
3.364605	0.2041	2,664,445.881764
3.368007	0.2041	2,683,359.973750
3.371407	0.204	2,645,618.734997
3.374808	0.2041	2,821,027.549525
3.378210	0.2041	2,972,769.839954
3.381610	0.204	2,869,270.201519
3.385012	0.2041	2,654,273.021614
3.388413	0.2041	2,715,680.738178
3.391813	0.204	2,826,414.161325
3.395215	0.2041	2,797,021.044017
3.398617	0.2041	2,773,858.715384
3.402017	0.204	2,761,059.130730
3.405418	0.2041	2,782,989.662450
3.408820	0.2041	2,819,185.074418
3.412220	0.204	2,851,988.646300
3.415622	0.2041	2,816,268.400825
3.419023	0.2041	2,816,472.784731
3.422423	0.204	2,860,606.248927
3.425825	0.2041	2,866,454.811552
3.429227	0.2041	2,792,895.116168
3.432627	0.204	2,747,966.607466
3.436028	0.2041	2,779,639.316592
3.439430	0.2041	2,788,368.781793
3.442830	0.204	2,810,220.385880
3.446232	0.2041	2,818,226.873608
3.449633	0.2041	2,749,605.400515
3.453033	0.204	2,624,277.271206
3.456435	0.2041	2,645,071.025500
3.459837	0.2041	2,759,733.746459
3.463237	0.204	2,711,238.061921
3.466638	0.2041	2,655,794.329364
3.470040	0.2041	2,742,025.865025
3.473440	0.204	2,743,563.260845
3.476842	0.2041	2,637,437.255978
3.480243	0.2041	2,660,802.720897
3.483643	0.204	2,770,572.711518
3.487045	0.2041	2,772,404.333562
3.490447	0.2041	2,729,231.163137
3.493847	0.204	2,716,327.523287
3.497248	0.2041	2,748,939.504063
3.500650	0.2041	2,774,086.737019
3.504050	0.204	2,747,744.482022
3.507452	0.2041	2,754,200.853954
3.510853	0.2041	2,654,506.115966
3.514253	0.204	2,632,164.715004
3.517655	0.2041	2,693,084.021474
3.521057	0.2041	2,696,793.799168
3.524457	0.204	2,728,668.693943
3.527858	0.2041	2,705,006.534225
3.531260	0.2041	2,705,298.057542
3.534660	0.204	2,736,082.449285
3.538062	0.2041	2,767,102.009942
3.541463	0.2041	2,717,867.456057
3.544863	0.204	2,697,385.499920
3.548265	0.2041	2,707,613.960154
3.551667	0.2041	2,663,957.837223
3.555067	0.204	2,726,610.672255
3.558468	0.2041	2,668,839.590949
3.561870	0.2041	2,608,956.550048
3.565270	0.204	2,708,427.677558
3.568672	0.2041	2,785,900.364244
3.572073	0.2041	2,688,450.554309
3.575473	0.204	2,602,706.079336
3.578875	0.2041	2,658,118.882866
3.582277	0.2041	2,650,703.436501
3.585677	0.204	2,635,845.365598
3.589078	0.2041	2,677,780.023098
3.592480	0.2041	2,675,931.854313
3.595880	0.204	2,677,324.248377
3.599282	0.2041	2,767,776.017308
3.602683	0.2041	2,782,069.770948
3.606083	0.204	2,636,714.636004
3.609485	0.2041	2,587,754.514678
3.612887	0.2041	2,728,990.715106
3.616287	0.204	2,684,191.414090
3.619688	0.2041	2,594,100.377710
3.623090	0.2041	2,687,621.658913
3.626490	0.204	2,693,600.961124
3.629892	0.2041	2,665,874.718249
3.633293	0.2041	2,654,595.156782
3.636693	0.204	2,646,714.511535
3.640095	0.2041	2,673,815.802782
3.643497	0.2041	2,638,558.534162
3.646897	0.204	2,577,890.727409
3.650298	0.2041	2,569,322.253207
3.653700	0.2041	2,590,899.969359
3.657100	0.204	2,588,323.444611
3.660502	0.2041	2,637,670.053547
3.663903	0.2041	2,667,701.382860
3.667305	0.2041	2,681,628.119755
3.670705	0.204	2,755,487.843082
3.674107	0.2041	2,637,101.506376
3.677508	0.2041	2,620,130.732674
3.680908	0.204	2,777,767.850004
3.684310	0.2041	2,679,627.197087
3.687712	0.2041	2,650,691.223121
3.691112	0.204	2,698,858.689495
3.694513	0.2041	2,577,424.265123
3.697915	0.2041	2,675,321.811019
3.701315	0.204	2,741,474.550852
3.704717	0.2041	2,649,724.457178
3.708118	0.2041	2,643,058.012727
3.711518	0.204	2,498,631.372972
3.714920	0.2041	2,489,638.494678
3.718322	0.2041	2,639,419.135509
3.721722	0.204	2,625,768.283408
3.725123	0.2041	2,543,737.915966
3.728525	0.2041	2,526,886.612820
3.731925	0.204	2,587,407.255422
3.735327	0.2041	2,571,337.032513
3.738728	0.2041	2,558,711.362673
3.742128	0.204	2,639,196.101844
3.745530	0.2041	2,675,072.816846
3.748932	0.2041	2,685,014.307628
3.752332	0.204	2,672,434.520173
3.755733	0.2041	2,648,459.156279
3.759135	0.2041	2,644,137.115467
3.762535	0.204	2,610,762.532993
3.765937	0.2041	2,659,181.931007
3.769338	0.2041	2,720,586.903319
3.772738	0.204	2,700,852.342116
3.776140	0.2041	2,651,419.699974
3.779542	0.2041	2,668,711.969111
3.782942	0.204	2,753,212.206546
3.786343	0.2041	2,715,601.243602
3.789745	0.2041	2,729,523.640360
3.793145	0.204	2,704,113.899468
3.796547	0.2041	2,558,373.531455
3.799948	0.2041	2,586,331.446480
3.803348	0.204	2,640,760.580915
3.806750	0.2041	2,616,545.179393
3.810152	0.2041	2,589,343.392727
3.813552	0.204	2,595,271.485946
3.816953	0.2041	2,642,073.654668
3.820355	0.2041	2,658,091.543235
3.823755	0.204	2,613,062.363860
3.827157	0.2041	2,652,018.636316
3.830558	0.2041	2,645,695.185402
3.833958	0.204	2,620,380.490831
3.837360	0.2041	2,643,575.545763
3.840762	0.2041	2,588,661.182291
3.844162	0.204	2,590,235.251121
3.847563	0.2041	2,647,337.073942
3.850965	0.2041	2,595,981.724696
3.854365	0.204	2,576,915.902124
3.857767	0.2041	2,634,675.595326
3.861168	0.2041	2,701,038.270082
3.864568	0.204	2,638,032.465195
3.867970	0.2041	2,575,764.659541
3.871372	0.2041	2,618,917.867895
3.874772	0.204	2,619,031.436011
3.878173	0.2041	2,644,099.803343
3.881575	0.2041	2,647,776.753085
3.884975	0.204	2,608,296.274097
3.888377	0.2041	2,662,900.847924
3.891778	0.2041	2,639,405.556949
3.895178	0.204	2,488,382.630045
3.898580	0.2041	2,506,198.879632
3.901982	0.2041	2,578,031.357568
3.905382	0.204	2,569,454.551152
3.908783	0.2041	2,601,460.853173
3.912185	0.2041	2,555,205.807663
3.915585	0.204	2,495,761.736137
3.918987	0.2041	2,534,871.081249
3.922388	0.2041	2,489,784.754961
3.925788	0.204	2,570,870.003765
3.929190	0.2041	2,703,159.361206
3.932592	0.2041	2,664,177.979627
