File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1104
Injection Number	47
Position	157
Comment	Lord 8525 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	6:54:54 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000687
Time Max. (min)	59.999998
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,938,960.296366
Signal Max.	12,298,880,864.641700
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000687	n.a.	3,418,305.200630
3.004088	0.2041	3,427,386.001892
3.007490	0.2041	3,419,808.868876
3.010890	0.204	3,335,984.181639
3.014292	0.2041	3,349,659.557780
3.017693	0.2041	3,268,277.497946
3.021095	0.2041	3,198,390.873388
3.024495	0.204	3,287,536.835613
3.027897	0.2041	3,154,167.199829
3.031298	0.2041	2,973,060.838831
3.034698	0.204	3,022,844.388756
3.038100	0.2041	3,136,735.798185
3.041502	0.2041	3,082,418.062318
3.044902	0.204	3,096,691.635696
3.048303	0.2041	3,162,118.215528
3.051705	0.2041	3,032,791.203254
3.055105	0.204	3,099,630.638584
3.058507	0.2041	3,202,115.876114
3.061908	0.2041	3,117,551.775453
3.065308	0.204	3,026,428.991292
3.068710	0.2041	2,940,465.745911
3.072112	0.2041	2,973,549.676953
3.075512	0.204	2,966,656.323204
3.078913	0.2041	2,974,446.129220
3.082315	0.2041	3,006,458.081125
3.085715	0.204	2,968,517.556376
3.089117	0.2041	2,961,832.519305
3.092518	0.2041	2,984,253.503542
3.095918	0.204	2,975,607.240571
3.099320	0.2041	2,926,690.716820
3.102722	0.2041	2,970,317.488545
3.106122	0.204	3,013,534.712697
3.109523	0.2041	2,955,768.856672
3.112925	0.2041	2,888,951.366644
3.116325	0.204	2,921,299.178513
3.119727	0.2041	2,885,377.179826
3.123128	0.2041	2,915,708.046875
3.126528	0.204	2,922,608.848153
3.129930	0.2041	2,853,925.179732
3.133332	0.2041	2,894,641.533827
3.136732	0.204	2,943,281.060852
3.140133	0.2041	2,945,292.198714
3.143535	0.2041	2,826,809.374034
3.146935	0.204	2,769,385.854584
3.150337	0.2041	2,817,585.102118
3.153738	0.2041	2,836,929.387036
3.157138	0.204	2,781,622.789844
3.160540	0.2041	2,786,042.209323
3.163942	0.2041	2,863,146.768683
3.167342	0.204	2,805,080.339148
3.170743	0.2041	2,806,161.780853
3.174145	0.2041	2,848,555.417397
3.177545	0.204	2,819,415.666916
3.180947	0.2041	2,834,382.460850
3.184348	0.2041	2,854,537.015538
3.187748	0.204	2,885,591.449464
3.191150	0.2041	2,816,539.380891
3.194552	0.2041	2,776,683.679639
3.197952	0.204	2,812,524.123798
3.201353	0.2041	2,755,453.188099
3.204755	0.2041	2,715,997.370676
3.208155	0.204	2,712,429.013997
3.211557	0.2041	2,761,374.617154
3.214958	0.2041	2,769,435.046812
3.218358	0.204	2,778,550.266209
3.221760	0.2041	2,792,409.704611
3.225162	0.2041	2,787,282.128005
3.228562	0.204	2,810,320.020301
3.231963	0.2041	2,751,189.552692
3.235365	0.2041	2,699,349.542319
3.238765	0.204	2,722,048.013178
3.242167	0.2041	2,690,504.845594
3.245568	0.2041	2,708,975.221703
3.248968	0.204	2,809,638.399307
3.252370	0.2041	2,757,971.844306
3.255772	0.2041	2,757,414.121587
3.259172	0.204	2,792,737.671853
3.262573	0.2041	2,709,564.214537
3.265975	0.2041	2,643,868.987291
3.269375	0.204	2,583,082.074293
3.272777	0.2041	2,674,177.061585
3.276178	0.2041	2,754,616.190043
3.279578	0.204	2,728,883.528829
3.282980	0.2041	2,744,868.037434
3.286382	0.2041	2,714,920.465602
3.289782	0.204	2,640,557.835101
3.293183	0.2041	2,649,947.513375
3.296585	0.2041	2,706,695.722703
3.299985	0.204	2,656,023.501147
3.303387	0.2041	2,678,287.832118
3.306788	0.2041	2,769,303.327431
3.310188	0.204	2,764,177.007666
3.313590	0.2041	2,742,027.371601
3.316992	0.2041	2,622,150.378321
3.320392	0.204	2,617,462.054808
3.323793	0.2041	2,708,445.061649
3.327195	0.2041	2,637,657.319234
3.330595	0.204	2,545,496.450020
3.333997	0.2041	2,655,901.871941
3.337398	0.2041	2,731,414.194313
3.340798	0.204	2,668,080.630574
3.344200	0.2041	2,617,164.364911
3.347602	0.2041	2,605,404.107349
3.351002	0.204	2,620,047.673509
3.354403	0.2041	2,643,047.613984
3.357805	0.2041	2,727,364.792261
3.361205	0.204	2,611,153.789004
3.364607	0.2041	2,601,450.221290
3.368008	0.2041	2,741,236.526875
3.371408	0.204	2,601,075.333847
3.374810	0.2041	2,579,543.379323
3.378212	0.2041	2,669,144.590424
3.381613	0.2041	2,726,497.888237
3.385013	0.204	2,741,794.331619
3.388415	0.2041	2,643,038.921008
3.391817	0.2041	2,646,976.563256
3.395217	0.204	2,702,832.935529
3.398618	0.2041	2,646,897.031822
3.402020	0.2041	2,697,873.099604
3.405420	0.204	2,759,767.498605
3.408822	0.2041	2,645,967.822532
3.412223	0.2041	2,603,634.995639
3.415623	0.204	2,654,463.940587
3.419025	0.2041	2,594,313.981935
3.422427	0.2041	2,561,235.156495
3.425827	0.204	2,627,219.129207
3.429228	0.2041	2,607,406.099724
3.432630	0.2041	2,632,544.934188
3.436030	0.204	2,716,928.588035
3.439432	0.2041	2,627,201.157641
3.442833	0.2041	2,571,145.077783
3.446233	0.204	2,661,511.704106
3.449635	0.2041	2,642,103.114293
3.453037	0.2041	2,594,190.272755
3.456437	0.204	2,552,220.679224
3.459838	0.2041	2,553,491.247542
3.463240	0.2041	2,641,239.907667
3.466640	0.204	2,588,852.330121
3.470042	0.2041	2,564,529.550291
3.473443	0.2041	2,600,419.726377
3.476843	0.204	2,616,042.022522
3.480245	0.2041	2,754,295.912034
3.483647	0.2041	2,721,662.675659
3.487047	0.204	2,552,692.718741
3.490448	0.2041	2,600,146.020830
3.493850	0.2041	2,620,368.850894
3.497250	0.204	2,527,321.127678
3.500652	0.2041	2,534,154.680480
3.504053	0.2041	2,587,297.273941
3.507453	0.204	2,691,329.193095
3.510855	0.2041	2,663,710.236334
3.514257	0.2041	2,616,781.483153
3.517657	0.204	2,619,926.281137
3.521058	0.2041	2,532,914.752079
3.524460	0.2041	2,542,560.514067
3.527860	0.204	2,598,549.724540
3.531262	0.2041	2,635,091.755620
3.534663	0.2041	2,588,027.997604
3.538063	0.204	2,553,429.126152
3.541465	0.2041	2,582,596.002047
3.544867	0.2041	2,476,512.389233
3.548267	0.204	2,431,923.527117
3.551668	0.2041	2,422,455.734322
3.555070	0.2041	2,509,446.205829
3.558470	0.204	2,723,171.758192
3.561872	0.2041	2,714,991.845174
3.565273	0.2041	2,674,556.299129
3.568673	0.204	2,682,175.961472
3.572075	0.2041	2,635,488.591631
3.575477	0.2041	2,585,366.740545
3.578877	0.204	2,514,464.622724
3.582278	0.2041	2,505,285.992675
3.585680	0.2041	2,560,574.556301
3.589080	0.204	2,561,585.111908
3.592482	0.2041	2,542,178.932551
3.595883	0.2041	2,541,520.082689
3.599283	0.204	2,526,515.072730
3.602685	0.2041	2,502,770.252378
3.606087	0.2041	2,479,407.979712
3.609487	0.204	2,499,456.828099
3.612888	0.2041	2,528,257.642608
3.616290	0.2041	2,574,650.840388
3.619690	0.204	2,606,849.362511
3.623092	0.2041	2,659,381.080296
3.626493	0.2041	2,636,368.639336
3.629893	0.204	2,540,572.709818
3.633295	0.2041	2,591,448.373562
3.636697	0.2041	2,580,364.180389
3.640097	0.204	2,547,543.213831
3.643498	0.2041	2,588,592.298353
3.646900	0.2041	2,555,780.641871
3.650300	0.204	2,581,800.845838
3.653702	0.2041	2,652,035.268728
3.657103	0.2041	2,635,804.699264
3.660503	0.204	2,582,653.128028
3.663905	0.2041	2,493,402.045978
3.667307	0.2041	2,432,871.921609
3.670707	0.204	2,570,460.507320
3.674108	0.2041	2,714,007.326867
3.677510	0.2041	2,708,583.835526
3.680910	0.204	2,634,081.686218
