File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_9738
Injection Number	38
Position	148
Comment	3M PN7444 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/17/2026
Injection Time	9:00:48 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002335
Time Max. (min)	60.001645
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,353,989.479998
Signal Max.	5,350,993,072.447250
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.002335	n.a.	3,898,176.280624
3.005735	0.204	3,886,241.513329
3.009137	0.2041	3,788,536.428186
3.012538	0.2041	3,655,927.232780
3.015938	0.204	3,585,102.080499
3.019340	0.2041	3,559,758.351854
3.022742	0.2041	3,671,502.552870
3.026143	0.2041	3,770,722.003856
3.029543	0.204	3,685,974.799571
3.032945	0.2041	3,470,185.017473
3.036347	0.2041	3,497,859.868879
3.039747	0.204	3,589,208.246925
3.043148	0.2041	3,557,745.858261
3.046550	0.2041	3,539,507.916428
3.049950	0.204	3,526,905.490350
3.053352	0.2041	3,500,778.059091
3.056753	0.2041	3,474,754.033706
3.060153	0.204	3,430,399.632882
3.063555	0.2041	3,437,795.275642
3.066957	0.2041	3,558,494.665756
3.070357	0.204	3,585,400.614482
3.073758	0.2041	3,580,662.466293
3.077160	0.2041	3,513,439.472393
3.080560	0.204	3,420,221.816169
3.083962	0.2041	3,396,167.003443
3.087363	0.2041	3,424,135.395508
3.090763	0.204	3,507,079.525338
3.094165	0.2041	3,520,639.569917
3.097567	0.2041	3,405,081.583652
3.100967	0.204	3,395,634.600750
3.104368	0.2041	3,513,098.667441
3.107770	0.2041	3,512,761.263007
3.111170	0.204	3,545,607.836170
3.114572	0.2041	3,453,881.893747
3.117973	0.2041	3,357,565.053666
3.121373	0.204	3,433,177.750004
3.124775	0.2041	3,538,620.077190
3.128177	0.2041	3,603,861.058754
3.131577	0.204	3,456,770.715293
3.134978	0.2041	3,314,412.118830
3.138380	0.2041	3,362,991.456705
3.141780	0.204	3,325,443.961019
3.145182	0.2041	3,242,109.711429
3.148583	0.2041	3,342,765.295171
3.151983	0.204	3,419,900.784323
3.155385	0.2041	3,396,904.423500
3.158787	0.2041	3,364,983.352122
3.162187	0.204	3,320,363.851072
3.165588	0.2041	3,391,231.642237
3.168990	0.2041	3,477,040.755397
3.172390	0.204	3,346,136.621792
3.175792	0.2041	3,211,658.679261
3.179193	0.2041	3,313,951.293176
3.182593	0.204	3,428,350.767806
3.185995	0.2041	3,378,511.798268
3.189397	0.2041	3,404,855.210451
3.192797	0.204	3,386,415.601788
3.196198	0.2041	3,224,312.441743
3.199600	0.2041	3,168,664.568866
3.203000	0.204	3,186,602.783340
3.206402	0.2041	3,253,542.442950
3.209803	0.2041	3,308,860.815296
3.213203	0.204	3,314,752.035355
3.216605	0.2041	3,225,710.670649
3.220007	0.2041	3,052,864.712054
3.223407	0.204	3,114,341.418657
3.226808	0.2041	3,281,431.313367
3.230210	0.2041	3,321,854.548412
3.233610	0.204	3,367,848.469325
3.237012	0.2041	3,357,533.087565
3.240413	0.2041	3,286,617.614800
3.243813	0.204	3,264,206.058622
3.247215	0.2041	3,232,462.358101
3.250617	0.2041	3,249,498.180806
3.254017	0.204	3,277,664.983343
3.257418	0.2041	3,209,532.866906
3.260820	0.2041	3,217,385.504739
3.264220	0.204	3,185,099.506350
3.267622	0.2041	3,123,937.669140
3.271023	0.2041	3,287,633.438465
3.274423	0.204	3,340,254.364021
3.277825	0.2041	3,227,230.431756
3.281227	0.2041	3,261,697.508138
3.284627	0.204	3,255,020.466967
3.288028	0.2041	3,188,469.764379
3.291430	0.2041	3,249,373.974315
3.294830	0.204	3,224,027.786125
3.298232	0.2041	3,197,371.392375
3.301633	0.2041	3,287,774.070750
3.305033	0.204	3,247,877.965830
3.308435	0.2041	3,231,516.867369
3.311837	0.2041	3,275,912.598373
3.315237	0.204	3,125,501.032071
3.318638	0.2041	3,064,351.267815
3.322040	0.2041	3,210,283.072884
3.325440	0.204	3,234,464.974147
3.328842	0.2041	3,118,720.887589
3.332243	0.2041	3,152,500.324056
3.335643	0.204	3,197,158.335358
3.339045	0.2041	3,137,064.421648
3.342447	0.2041	3,281,174.528659
3.345847	0.204	3,246,690.917843
3.349248	0.2041	3,181,499.773926
3.352650	0.2041	3,288,561.207260
3.356050	0.204	3,237,247.617316
3.359452	0.2041	3,315,484.223705
3.362853	0.2041	3,290,822.649016
3.366255	0.2041	3,198,471.155229
3.369655	0.204	3,247,554.751819
3.373057	0.2041	3,146,777.625312
3.376458	0.2041	3,160,554.720683
3.379858	0.204	3,191,231.235122
3.383260	0.2041	3,135,980.888230
3.386662	0.2041	3,188,161.545730
3.390062	0.204	3,233,329.324131
3.393463	0.2041	3,125,840.790886
3.396865	0.2041	3,105,155.975424
3.400265	0.204	3,243,859.376396
3.403667	0.2041	3,210,520.075374
3.407068	0.2041	3,091,099.055072
3.410468	0.204	3,105,813.395771
3.413870	0.2041	3,156,320.695749
3.417272	0.2041	3,088,479.916753
3.420672	0.204	3,073,398.191166
3.424073	0.2041	3,099,262.943346
3.427475	0.2041	3,051,174.294736
3.430875	0.204	3,141,712.249616
3.434277	0.2041	3,141,302.442608
3.437678	0.2041	3,066,595.581394
3.441078	0.204	3,112,780.428482
3.444480	0.2041	3,124,094.148506
3.447882	0.2041	3,190,654.364808
3.451282	0.204	3,228,443.918230
3.454683	0.2041	3,224,396.199864
3.458085	0.2041	3,239,258.828373
3.461485	0.204	3,167,279.140493
3.464887	0.2041	3,034,278.726770
3.468288	0.2041	3,013,410.691529
3.471688	0.204	3,136,145.015842
3.475090	0.2041	3,131,384.489351
3.478492	0.2041	2,997,728.090785
3.481892	0.204	3,085,820.082671
3.485293	0.2041	3,219,650.858186
3.488695	0.2041	3,175,728.538215
3.492095	0.204	3,139,996.835352
3.495497	0.2041	3,056,431.899940
3.498898	0.2041	3,155,036.901746
3.502298	0.204	3,228,550.164616
3.505700	0.2041	3,052,836.232776
3.509102	0.2041	3,067,738.851978
3.512502	0.204	3,226,166.923531
3.515903	0.2041	3,270,713.490895
3.519305	0.2041	3,135,244.333521
3.522705	0.204	3,020,284.827637
3.526107	0.2041	3,097,199.921850
3.529508	0.2041	3,119,266.063081
3.532908	0.204	3,106,187.784728
3.536310	0.2041	3,083,953.099537
3.539712	0.2041	3,010,244.084799
3.543112	0.204	3,020,050.096965
3.546513	0.2041	3,120,801.371049
3.549915	0.2041	3,132,307.215055
3.553315	0.204	3,009,288.335730
3.556717	0.2041	3,020,764.262689
3.560118	0.2041	3,052,394.495335
3.563518	0.204	3,131,676.579587
3.566920	0.2041	3,142,214.596174
3.570322	0.2041	3,076,128.488606
3.573722	0.204	3,097,084.652821
3.577123	0.2041	3,054,471.625350
3.580525	0.2041	2,971,043.458294
3.583925	0.204	2,923,135.699847
3.587327	0.2041	3,023,017.313965
3.590728	0.2041	3,033,308.907311
3.594128	0.204	3,094,949.481749
3.597530	0.2041	3,193,737.155602
3.600932	0.2041	3,171,757.250446
3.604332	0.204	3,139,282.293283
3.607733	0.2041	3,068,339.506525
3.611135	0.2041	3,065,813.668057
3.614535	0.204	3,021,428.942072
3.617937	0.2041	3,113,122.752871
3.621338	0.2041	3,178,094.603054
3.624738	0.204	2,954,728.766594
3.628140	0.2041	2,902,323.926758
3.631542	0.2041	3,097,159.672199
3.634942	0.204	3,115,993.208808
3.638343	0.2041	2,992,852.183478
3.641745	0.2041	3,023,509.133775
