File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_9717
Injection Number	20
Position	130
Comment	Betaforce 9075L -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	10:16:03 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000510
Time Max. (min)	59.999785
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	413,974.755598
Signal Max.	6,996,324,128.399330
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000510	n.a.	694,926.353157
3.003912	0.2041	714,564.939880
3.007312	0.204	736,096.157723
3.010713	0.2041	727,799.065344
3.014115	0.2041	743,281.951892
3.017515	0.204	760,045.090005
3.020917	0.2041	755,307.593722
3.024318	0.2041	741,524.786717
3.027718	0.204	726,380.173954
3.031120	0.2041	701,709.535486
3.034522	0.2041	694,247.973885
3.037922	0.204	702,680.883219
3.041323	0.2041	708,836.569114
3.044725	0.2041	734,864.616855
3.048125	0.204	754,833.107148
3.051527	0.2041	729,754.939976
3.054928	0.2041	705,878.931765
3.058328	0.204	695,834.317930
3.061730	0.2041	706,832.599070
3.065132	0.2041	722,686.802224
3.068532	0.204	698,651.963257
3.071933	0.2041	667,801.112072
3.075335	0.2041	662,482.402101
3.078735	0.204	695,578.321888
3.082137	0.2041	723,434.416795
3.085538	0.2041	724,338.060925
3.088938	0.204	707,807.762110
3.092340	0.2041	692,288.055646
3.095742	0.2041	721,187.710857
3.099142	0.204	724,371.775396
3.102543	0.2041	703,719.909552
3.105945	0.2041	729,154.504641
3.109345	0.204	714,462.460576
3.112747	0.2041	699,498.514159
3.116148	0.2041	708,374.963064
3.119548	0.204	677,928.894562
3.122950	0.2041	661,098.358300
3.126352	0.2041	674,159.124751
3.129752	0.204	673,788.250196
3.133153	0.2041	666,420.559995
3.136555	0.2041	682,412.592276
3.139955	0.204	668,899.524476
3.143357	0.2041	651,819.733525
3.146758	0.2041	667,862.278734
3.150158	0.204	672,752.708184
3.153560	0.2041	662,833.079095
3.156962	0.2041	667,141.097668
3.160362	0.204	688,763.879746
3.163763	0.2041	671,353.695573
3.167165	0.2041	694,424.033218
3.170565	0.204	688,368.452053
3.173967	0.2041	650,622.955468
3.177368	0.2041	690,168.983893
3.180768	0.204	698,140.929100
3.184170	0.2041	665,232.956936
3.187572	0.2041	670,314.040182
3.190972	0.204	654,551.278676
3.194373	0.2041	646,364.716780
3.197775	0.2041	695,754.021665
3.201175	0.204	694,112.365416
3.204577	0.2041	647,064.354320
3.207978	0.2041	653,313.653064
3.211378	0.204	674,827.799865
3.214780	0.2041	656,601.217459
3.218182	0.2041	661,143.712536
3.221582	0.204	682,966.238944
3.224983	0.2041	673,507.541734
3.228385	0.2041	680,120.217124
3.231785	0.204	667,651.487817
3.235187	0.2041	651,682.445319
3.238588	0.2041	648,033.123163
3.241988	0.204	672,482.522507
3.245390	0.2041	723,052.621855
3.248792	0.2041	695,819.555226
3.252192	0.204	648,957.861916
3.255593	0.2041	669,638.698893
3.258995	0.2041	689,469.768826
3.262395	0.204	670,085.319916
3.265797	0.2041	653,812.500131
3.269198	0.2041	673,957.601357
3.272598	0.204	697,902.165105
3.276000	0.2041	688,888.387615
3.279402	0.2041	696,073.247969
3.282802	0.204	692,147.333448
3.286203	0.2041	669,684.279616
3.289605	0.2041	686,722.103547
3.293005	0.204	662,831.476810
3.296407	0.2041	633,787.640584
3.299808	0.2041	682,590.825689
3.303208	0.204	692,854.418243
3.306610	0.2041	673,073.998762
3.310012	0.2041	687,964.393478
3.313412	0.204	692,115.614863
3.316813	0.2041	693,876.698809
3.320215	0.2041	686,525.247950
3.323615	0.204	687,284.805524
3.327017	0.2041	725,036.872221
3.330418	0.2041	718,300.805910
3.333818	0.204	707,920.634776
3.337220	0.2041	677,808.956977
3.340622	0.2041	652,267.868869
3.344022	0.204	675,283.559190
3.347423	0.2041	647,395.284102
3.350825	0.2041	624,345.835342
3.354225	0.204	662,028.661258
3.357627	0.2041	672,173.058960
3.361028	0.2041	657,708.118062
3.364428	0.204	686,507.874817
3.367830	0.2041	693,568.458756
3.371232	0.2041	637,161.327345
3.374632	0.204	646,061.926823
3.378033	0.2041	685,383.056634
3.381435	0.2041	645,801.364654
3.384835	0.204	604,045.872724
3.388237	0.2041	620,030.313860
3.391638	0.2041	655,963.344388
3.395038	0.204	657,494.298243
3.398440	0.2041	610,995.167687
3.401842	0.2041	591,732.913426
3.405242	0.204	654,483.094628
3.408643	0.2041	658,678.652524
3.412045	0.2041	627,820.085168
3.415445	0.204	663,104.680797
3.418847	0.2041	665,904.599930
3.422248	0.2041	639,153.552652
3.425648	0.204	629,773.949407
3.429050	0.2041	638,514.133371
3.432452	0.2041	643,272.217862
3.435852	0.204	610,696.622943
3.439253	0.2041	609,515.131532
3.442655	0.2041	643,561.352958
3.446055	0.204	643,194.038075
3.449457	0.2041	655,460.158625
3.452858	0.2041	659,651.413187
3.456258	0.204	642,202.667118
3.459660	0.2041	648,988.038916
3.463062	0.2041	661,873.635240
3.466462	0.204	647,039.594929
3.469863	0.2041	644,867.431719
3.473265	0.2041	659,271.596396
3.476665	0.204	670,639.638071
3.480067	0.2041	685,862.613333
3.483468	0.2041	672,568.432165
3.486868	0.204	644,526.218751
3.490270	0.2041	638,419.979598
3.493672	0.2041	654,822.074522
3.497072	0.204	665,244.688366
3.500473	0.2041	656,460.603790
3.503875	0.2041	653,458.913728
3.507277	0.2041	640,408.269862
3.510677	0.204	655,688.901299
3.514078	0.2041	672,350.615023
3.517480	0.2041	620,248.384754
3.520880	0.204	592,915.575599
3.524282	0.2041	622,470.504750
3.527683	0.2041	627,957.802812
3.531083	0.204	645,947.577270
3.534485	0.2041	651,749.434492
3.537887	0.2041	623,789.537403
3.541287	0.204	640,156.436848
3.544688	0.2041	667,308.374935
3.548090	0.2041	658,868.157551
3.551490	0.204	631,380.643622
3.554892	0.2041	633,286.686888
3.558293	0.2041	666,187.956169
3.561693	0.204	673,317.861428
3.565095	0.2041	652,284.526433
3.568497	0.2041	637,140.744251
3.571897	0.204	630,825.218342
3.575298	0.2041	611,226.387049
3.578700	0.2041	603,952.531838
3.582100	0.204	639,878.120366
3.585502	0.2041	663,287.334240
3.588903	0.2041	656,388.744070
3.592303	0.204	640,376.778204
