File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1101
Injection Number	2
Position	112
Comment	3M DP6330 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/2/2026
Injection Time	2:37:40 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000705
Time Max. (min)	60.006783
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	505,933.884412
Signal Max.	1,974,547,537.296650
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000705	n.a.	876,260.627274
3.004107	0.2041	918,633.862349
3.007507	0.204	984,252.445675
3.010908	0.2041	964,386.245024
3.014310	0.2041	905,134.195649
3.017710	0.204	906,391.536567
3.021112	0.2041	919,261.727397
3.024513	0.2041	885,154.625172
3.027913	0.204	879,916.985668
3.031315	0.2041	902,438.258807
3.034717	0.2041	921,428.633486
3.038117	0.204	918,781.842379
3.041518	0.2041	910,818.458631
3.044920	0.2041	922,771.139680
3.048320	0.204	938,776.730095
3.051722	0.2041	934,689.615642
3.055123	0.2041	898,479.577103
3.058523	0.204	868,551.005355
3.061925	0.2041	866,317.734907
3.065327	0.2041	897,770.343078
3.068727	0.204	910,797.577444
3.072128	0.2041	882,170.552075
3.075530	0.2041	906,517.838021
3.078930	0.204	904,359.277556
3.082332	0.2041	864,142.209536
3.085733	0.2041	857,324.428306
3.089133	0.204	862,872.146663
3.092535	0.2041	881,446.065929
3.095937	0.2041	877,089.288137
3.099337	0.204	839,555.543536
3.102738	0.2041	852,874.724511
3.106140	0.2041	893,991.004505
3.109540	0.204	890,636.690091
3.112942	0.2041	871,919.038144
3.116343	0.2041	844,498.874573
3.119743	0.204	836,226.552623
3.123145	0.2041	819,681.607903
3.126547	0.2041	830,877.610767
3.129947	0.204	841,411.262592
3.133348	0.2041	832,767.745063
3.136750	0.2041	863,872.414675
3.140150	0.204	878,778.948530
3.143552	0.2041	898,453.106950
3.146953	0.2041	891,127.767911
3.150353	0.204	821,879.001372
3.153755	0.2041	815,504.900596
3.157157	0.2041	870,016.812274
3.160557	0.204	855,322.318939
3.163958	0.2041	809,989.980992
3.167360	0.2041	805,103.785162
3.170760	0.204	806,915.593596
3.174162	0.2041	832,614.449527
3.177563	0.2041	827,689.852611
3.180963	0.204	797,001.972827
3.184365	0.2041	834,283.725714
3.187767	0.2041	853,504.950246
3.191167	0.204	796,599.593276
3.194568	0.2041	775,159.205088
3.197970	0.2041	817,342.665708
3.201370	0.204	851,742.985752
3.204772	0.2041	874,853.040215
3.208173	0.2041	899,388.229726
3.211573	0.204	850,591.245553
3.214975	0.2041	813,513.546623
3.218377	0.2041	836,394.633807
3.221777	0.204	819,970.433311
3.225178	0.2041	846,517.449938
3.228580	0.2041	869,789.766940
3.231980	0.204	815,279.198275
3.235382	0.2041	809,140.600942
3.238783	0.2041	832,049.458949
3.242183	0.204	838,155.897128
3.245585	0.2041	832,370.863126
3.248987	0.2041	794,009.040839
3.252387	0.204	782,503.642957
3.255788	0.2041	797,856.590781
3.259190	0.2041	835,882.524196
3.262590	0.204	849,748.619680
3.265992	0.2041	822,703.132245
3.269393	0.2041	839,675.626414
3.272793	0.204	841,383.444853
3.276195	0.2041	849,894.992269
3.279597	0.2041	845,557.427044
3.282997	0.204	833,463.803916
3.286398	0.2041	872,623.419704
3.289800	0.2041	862,624.644129
3.293200	0.204	831,444.066490
3.296602	0.2041	854,185.186794
3.300003	0.2041	899,162.637240
3.303403	0.204	875,233.031593
3.306805	0.2041	814,830.638289
3.310207	0.2041	786,009.909175
3.313607	0.204	779,310.345400
3.317008	0.2041	791,295.071974
3.320410	0.2041	822,771.478916
3.323810	0.204	866,880.458646
3.327212	0.2041	855,297.723918
3.330613	0.2041	810,114.415488
3.334013	0.204	818,894.668752
3.337415	0.2041	807,650.950050
3.340817	0.2041	782,175.063697
3.344217	0.204	807,765.462490
3.347618	0.2041	803,148.992698
3.351020	0.2041	785,544.249127
3.354420	0.204	779,061.011464
3.357822	0.2041	790,401.116424
3.361223	0.2041	826,914.430116
3.364623	0.204	814,516.584778
3.368025	0.2041	766,674.760103
3.371427	0.2041	748,416.975397
3.374827	0.204	788,797.959068
3.378228	0.2041	866,099.923820
3.381630	0.2041	863,830.338848
3.385030	0.204	835,040.516236
3.388432	0.2041	843,943.885473
3.391833	0.2041	849,375.406426
3.395233	0.204	866,606.238974
3.398635	0.2041	864,110.632275
3.402037	0.2041	835,001.808658
3.405437	0.204	847,628.713367
3.408838	0.2041	870,787.620402
3.412240	0.2041	838,368.417584
3.415640	0.204	854,234.433642
3.419042	0.2041	851,090.958569
3.422443	0.2041	781,730.499642
3.425843	0.204	762,576.721126
3.429245	0.2041	800,334.203433
3.432647	0.2041	799,252.849784
3.436047	0.204	767,321.809677
3.439448	0.2041	798,699.404877
3.442850	0.2041	822,743.120672
3.446250	0.204	839,226.476662
3.449652	0.2041	856,233.762039
3.453053	0.2041	849,182.326028
3.456453	0.204	809,174.200342
3.459855	0.2041	777,658.359667
3.463257	0.2041	825,828.522662
3.466657	0.204	811,146.994470
3.470058	0.2041	785,528.644018
3.473460	0.2041	803,043.637885
3.476860	0.204	828,271.644114
3.480262	0.2041	859,284.721087
3.483663	0.2041	851,216.877930
3.487063	0.204	840,528.452043
3.490465	0.2041	773,424.079025
3.493867	0.2041	764,988.255871
3.497267	0.204	790,439.883389
3.500668	0.2041	800,097.681277
