File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_9727
Injection Number	14
Position	124
Comment	Terroson EP 6055 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	3:44:16 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000582
Time Max. (min)	60.006660
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	494,855.303040
Signal Max.	2,338,824,082.435260
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000582	n.a.	823,815.726608
3.003983	0.2041	822,453.161831
3.007385	0.2041	816,913.173005
3.010785	0.204	832,688.884053
3.014187	0.2041	856,062.143185
3.017588	0.2041	833,697.919302
3.020988	0.204	816,687.441542
3.024390	0.2041	823,491.749770
3.027792	0.2041	838,315.937838
3.031192	0.204	819,632.663214
3.034593	0.2041	813,700.864036
3.037995	0.2041	838,852.964855
3.041395	0.204	841,949.055293
3.044797	0.2041	800,929.585813
3.048198	0.2041	791,859.564288
3.051598	0.204	813,119.939780
3.055000	0.2041	807,426.981427
3.058402	0.2041	787,330.128670
3.061802	0.204	776,000.771799
3.065203	0.2041	744,604.838353
3.068605	0.2041	739,787.855842
3.072005	0.204	802,396.379912
3.075407	0.2041	780,375.057347
3.078808	0.2041	747,855.420098
3.082208	0.204	779,012.948868
3.085610	0.2041	761,725.886760
3.089012	0.2041	773,214.850173
3.092412	0.204	801,641.025462
3.095813	0.2041	776,341.779681
3.099215	0.2041	735,405.469196
3.102615	0.204	748,584.376512
3.106017	0.2041	793,957.037841
3.109418	0.2041	796,400.278574
3.112818	0.204	783,748.557253
3.116220	0.2041	782,045.379557
3.119622	0.2041	774,850.975573
3.123022	0.204	767,231.717107
3.126423	0.2041	761,511.650034
3.129825	0.2041	736,184.858017
3.133225	0.204	740,215.785371
3.136627	0.2041	798,098.582374
3.140028	0.2041	772,793.639819
3.143428	0.204	761,008.192398
3.146830	0.2041	825,829.712736
3.150232	0.2041	801,194.665646
3.153632	0.204	759,535.246124
3.157033	0.2041	760,308.968557
3.160435	0.2041	761,345.050875
3.163835	0.204	757,163.502005
3.167237	0.2041	741,418.381153
3.170638	0.2041	747,154.321635
3.174038	0.204	776,795.802947
3.177440	0.2041	734,213.872337
3.180842	0.2041	709,052.654000
3.184242	0.204	761,789.315935
3.187643	0.2041	772,287.163569
3.191045	0.2041	749,888.945780
3.194445	0.204	725,662.379819
3.197847	0.2041	738,547.564244
3.201248	0.2041	770,232.321365
3.204648	0.204	792,047.215339
3.208050	0.2041	781,357.300321
3.211452	0.2041	750,800.149871
3.214852	0.204	766,181.139689
3.218253	0.2041	767,233.973728
3.221655	0.2041	746,350.120141
3.225055	0.204	757,059.209255
3.228457	0.2041	751,160.232666
3.231858	0.2041	724,421.378382
3.235258	0.204	752,079.673580
3.238660	0.2041	748,581.764057
3.242062	0.2041	703,573.263192
3.245462	0.204	705,458.734798
3.248863	0.2041	721,936.335747
3.252265	0.2041	730,622.381525
3.255665	0.204	725,931.374227
3.259067	0.2041	740,094.977692
3.262468	0.2041	738,564.990582
3.265868	0.204	723,134.297375
3.269270	0.2041	721,829.729282
3.272672	0.2041	733,232.572100
3.276072	0.204	739,184.014516
3.279473	0.2041	726,677.504021
3.282875	0.2041	722,518.392842
3.286275	0.204	717,476.724758
3.289677	0.2041	726,577.264756
3.293078	0.2041	742,769.921127
3.296478	0.204	720,604.638944
3.299880	0.2041	724,044.474890
3.303282	0.2041	727,361.215490
3.306682	0.204	729,324.004256
3.310083	0.2041	764,743.893935
3.313485	0.2041	778,449.677646
3.316885	0.204	760,407.773943
3.320287	0.2041	728,217.987832
3.323688	0.2041	708,810.360741
3.327088	0.204	714,727.156985
3.330490	0.2041	727,758.661981
3.333892	0.2041	716,725.185549
3.337292	0.204	724,572.760811
3.340693	0.2041	704,141.215376
3.344095	0.2041	689,770.541922
3.347495	0.204	726,857.891315
3.350897	0.2041	750,518.280586
3.354298	0.2041	744,140.474037
3.357698	0.204	715,067.715504
3.361100	0.2041	673,939.707019
3.364502	0.2041	672,752.717007
3.367902	0.204	707,013.853391
3.371303	0.2041	738,606.730953
3.374705	0.2041	766,188.979153
3.378105	0.204	756,513.521923
3.381507	0.2041	745,829.248984
3.384908	0.2041	732,470.217341
3.388308	0.204	737,347.942675
3.391710	0.2041	735,480.861218
3.395112	0.2041	695,247.763761
3.398512	0.204	715,461.516916
3.401913	0.2041	726,919.803406
3.405315	0.2041	714,571.076260
3.408715	0.204	733,895.677000
3.412117	0.2041	738,611.648510
3.415518	0.2041	717,636.528202
3.418918	0.204	735,569.896721
3.422320	0.2041	766,499.481784
3.425722	0.2041	729,100.349336
3.429122	0.204	726,476.202076
3.432523	0.2041	754,688.792195
3.435925	0.2041	735,368.210246
3.439325	0.204	721,486.937655
3.442727	0.2041	739,148.515164
3.446128	0.2041	736,058.239961
3.449528	0.204	696,929.827263
3.452930	0.2041	703,926.127971
3.456332	0.2041	766,566.999669
3.459732	0.204	792,755.547082
3.463133	0.2041	778,086.038952
3.466535	0.2041	743,807.691503
3.469935	0.204	710,121.275708
3.473337	0.2041	706,321.424644
3.476738	0.2041	716,189.493965
3.480138	0.204	744,822.322565
3.483540	0.2041	731,018.855729
3.486942	0.2041	708,651.344997
3.490343	0.2041	739,447.402515
3.493743	0.204	740,322.383605
3.497145	0.2041	707,022.578614
3.500547	0.2041	691,641.429392
3.503947	0.204	708,243.693092
3.507348	0.2041	711,002.057922
3.510750	0.2041	688,945.981833
3.514150	0.204	692,439.956103
3.517552	0.2041	704,565.486922
3.520953	0.2041	736,424.959429
3.524353	0.204	756,881.303419
3.527755	0.2041	720,545.167581
3.531157	0.2041	706,611.919106
3.534557	0.204	699,157.270912
3.537958	0.2041	674,250.245738
3.541360	0.2041	698,745.391589
3.544760	0.204	714,721.171356
3.548162	0.2041	730,128.431094
3.551563	0.2041	715,994.316613
3.554963	0.204	717,308.352333
3.558365	0.2041	744,895.966458
3.561767	0.2041	692,186.972807
3.565167	0.204	686,574.847613
3.568568	0.2041	691,530.209651
3.571970	0.2041	695,845.538693
3.575370	0.204	747,914.742559
3.578772	0.2041	762,232.625000
3.582173	0.2041	759,593.722069
3.585573	0.204	742,003.834077
3.588975	0.2041	709,116.898160
3.592377	0.2041	707,412.522106
3.595777	0.204	755,951.046396
3.599178	0.2041	762,401.502155
3.602580	0.2041	739,344.512518
3.605980	0.204	744,918.366966
3.609382	0.2041	736,012.522417
3.612783	0.2041	741,017.546272
3.616183	0.204	733,722.128413
3.619585	0.2041	668,765.552847
3.622987	0.2041	658,943.948781
3.626387	0.204	715,886.882616
3.629788	0.2041	695,984.306806
3.633190	0.2041	660,477.422082
3.636590	0.204	679,543.304617
3.639992	0.2041	675,502.609999
3.643393	0.2041	713,776.390932
3.646793	0.204	757,947.851821
3.650195	0.2041	724,306.886456
3.653597	0.2041	711,173.642168
3.656997	0.204	735,000.176938
3.660398	0.2041	717,230.464136
3.663800	0.2041	687,732.867339
3.667200	0.204	683,071.541053
3.670602	0.2041	723,757.694904
3.674003	0.2041	772,071.118110
3.677403	0.204	783,814.882016
3.680805	0.2041	765,103.861511
3.684207	0.2041	723,747.312880
3.687607	0.204	708,720.873946
3.691008	0.2041	711,446.509251
3.694410	0.2041	729,418.224480
3.697810	0.204	713,759.349145
3.701212	0.2041	689,393.208730
3.704613	0.2041	718,358.646944
3.708013	0.204	713,694.270078
3.711415	0.2041	715,902.003992
3.714817	0.2041	732,477.464415
3.718217	0.204	697,394.979942
3.721618	0.2041	714,658.453634
3.725020	0.2041	732,932.847655
3.728420	0.204	690,769.686276
3.731822	0.2041	685,339.657060
3.735223	0.2041	689,478.562704
3.738623	0.204	691,930.185995
3.742025	0.2041	681,292.646114
3.745427	0.2041	666,636.071643
3.748827	0.204	703,214.378897
3.752228	0.2041	730,430.225642
3.755630	0.2041	724,397.004743
3.759030	0.204	690,386.859090
3.762432	0.2041	679,308.409048
3.765833	0.2041	674,524.051857
3.769233	0.204	653,456.851051
3.772635	0.2041	686,397.188331
3.776037	0.2041	720,817.863872
3.779437	0.204	726,753.103699
3.782838	0.2041	692,344.837971
3.786240	0.2041	682,203.227886
3.789640	0.204	708,021.371848
3.793042	0.2041	701,933.798526
3.796443	0.2041	686,205.922176
3.799843	0.204	661,078.080705
3.803245	0.2041	645,866.548657
3.806647	0.2041	722,643.198750
3.810047	0.204	757,123.837440
3.813448	0.2041	678,205.725413
3.816850	0.2041	664,243.013975
3.820250	0.204	685,237.946538
3.823652	0.2041	667,414.655979
3.827053	0.2041	667,912.569592
3.830453	0.204	719,078.153170
3.833855	0.2041	742,575.245523
3.837257	0.2041	714,943.644310
3.840657	0.204	708,540.242987
3.844058	0.2041	752,284.674742
3.847460	0.2041	741,654.935557
3.850860	0.204	699,990.708195
3.854262	0.2041	728,853.760738
3.857663	0.2041	750,374.474943
3.861063	0.204	730,754.518582
3.864465	0.2041	700,035.905399
3.867867	0.2041	702,537.354168
3.871267	0.204	719,359.629191
3.874668	0.2041	704,406.611161
3.878070	0.2041	716,339.659489
3.881470	0.204	696,195.652287
3.884872	0.2041	691,406.317143
3.888273	0.2041	717,320.442422
3.891673	0.204	722,302.437846
3.895075	0.2041	704,565.191783
3.898477	0.2041	671,942.503316
3.901877	0.204	713,999.785641
3.905278	0.2041	744,586.060762
3.908680	0.2041	721,324.844159
3.912080	0.204	714,655.550980
3.915482	0.2041	750,382.696140
3.918883	0.2041	750,653.111875
3.922283	0.204	702,359.591574
3.925685	0.2041	732,429.796109
3.929087	0.2041	744,291.737926
3.932487	0.204	703,407.747817
3.935888	0.2041	694,644.486580
3.939290	0.2041	687,381.309629
3.942690	0.204	653,862.816816
3.946092	0.2041	684,980.335276
3.949493	0.2041	716,236.504594
3.952893	0.204	683,745.591251
3.956295	0.2041	728,575.404639
3.959697	0.2041	697,545.783977
3.963097	0.204	637,374.167896
3.966498	0.2041	689,315.169821
3.969900	0.2041	703,564.030874
