File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1102
Injection Number	26
Position	136
Comment	Lord 8525 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	4:49:11 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000722
Time Max. (min)	60.006800
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	428,779.391490
Signal Max.	6,424,765,800.182540
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000722	n.a.	756,258.467865
3.004123	0.2041	740,660.575348
3.007523	0.204	743,399.401051
3.010925	0.2041	746,915.703240
3.014327	0.2041	747,873.412874
3.017727	0.204	759,858.861024
3.021128	0.2041	727,361.882997
3.024530	0.2041	667,324.381808
3.027930	0.204	668,329.642892
3.031332	0.2041	714,780.429742
3.034733	0.2041	719,435.947181
3.038133	0.204	703,913.318566
3.041535	0.2041	695,106.518191
3.044937	0.2041	698,590.729214
3.048337	0.204	723,645.742698
3.051738	0.2041	725,295.660351
3.055140	0.2041	720,288.184150
3.058540	0.204	683,230.609648
3.061942	0.2041	662,282.018127
3.065343	0.2041	690,696.353614
3.068743	0.204	686,112.479865
3.072145	0.2041	689,924.000912
3.075547	0.2041	704,400.445875
3.078947	0.204	667,027.532932
3.082348	0.2041	663,416.823909
3.085750	0.2041	688,823.898038
3.089150	0.204	661,624.271883
3.092552	0.2041	628,676.000708
3.095953	0.2041	665,630.099294
3.099353	0.204	690,947.802991
3.102755	0.2041	633,464.305703
3.106157	0.2041	635,526.006920
3.109557	0.204	667,013.260566
3.112958	0.2041	629,022.494465
3.116360	0.2041	580,425.141053
3.119760	0.204	582,339.501067
3.123162	0.2041	660,358.941811
3.126563	0.2041	698,487.090715
3.129963	0.204	665,649.516458
3.133365	0.2041	655,614.413344
3.136767	0.2041	655,972.616972
3.140167	0.204	656,295.813374
3.143568	0.2041	662,828.722025
3.146970	0.2041	642,827.846707
3.150370	0.204	628,857.670611
3.153772	0.2041	623,326.888169
3.157173	0.2041	641,819.684808
3.160573	0.204	654,529.930749
3.163975	0.2041	599,758.840093
3.167377	0.2041	582,567.545381
3.170777	0.204	590,576.878741
3.174178	0.2041	606,155.447526
3.177580	0.2041	624,409.012205
3.180980	0.204	643,893.233926
3.184382	0.2041	643,920.060789
3.187783	0.2041	635,299.883787
3.191183	0.204	661,107.259888
3.194585	0.2041	680,262.910342
3.197987	0.2041	653,046.634008
3.201388	0.2041	616,308.883818
3.204788	0.204	648,880.914106
3.208190	0.2041	684,732.900202
3.211592	0.2041	662,778.899400
3.214992	0.204	683,436.445174
3.218393	0.2041	687,016.151220
3.221795	0.2041	674,544.725059
3.225195	0.204	701,226.850773
3.228597	0.2041	672,285.688086
3.231998	0.2041	634,218.740663
3.235398	0.204	630,166.458357
3.238800	0.2041	622,191.600986
3.242202	0.2041	615,444.958304
3.245602	0.204	625,201.258204
3.249003	0.2041	619,297.442594
3.252405	0.2041	649,219.259403
3.255805	0.204	657,857.582286
3.259207	0.2041	626,074.948901
3.262608	0.2041	646,885.552710
3.266008	0.204	635,724.695567
3.269410	0.2041	636,867.091570
3.272812	0.2041	663,652.184032
3.276212	0.204	650,326.322347
3.279613	0.2041	629,248.561574
3.283015	0.2041	594,836.939192
3.286415	0.204	591,515.009276
3.289817	0.2041	637,758.500861
3.293218	0.2041	625,699.307908
3.296618	0.204	600,438.395567
3.300020	0.2041	603,020.451131
3.303422	0.2041	630,269.515601
3.306822	0.204	657,570.949465
3.310223	0.2041	607,065.441962
3.313625	0.2041	599,740.843936
3.317025	0.204	642,594.955658
3.320427	0.2041	634,231.990080
3.323828	0.2041	597,240.722610
3.327228	0.204	598,558.640554
3.330630	0.2041	614,675.898871
3.334032	0.2041	627,953.611585
3.337432	0.204	654,854.551604
3.340833	0.2041	641,756.155535
3.344235	0.2041	618,289.393393
3.347635	0.204	635,306.691555
3.351037	0.2041	632,454.331310
3.354438	0.2041	612,712.905675
3.357838	0.204	599,617.851460
3.361240	0.2041	588,297.912342
3.364642	0.2041	596,220.676220
3.368042	0.204	595,041.455925
3.371443	0.2041	635,206.547085
3.374845	0.2041	648,379.740519
3.378245	0.204	622,215.974899
3.381647	0.2041	607,389.075473
3.385048	0.2041	593,739.814588
3.388448	0.204	622,340.492391
3.391850	0.2041	635,347.956791
3.395252	0.2041	619,660.573242
3.398652	0.204	625,629.748236
3.402053	0.2041	609,030.239327
3.405455	0.2041	601,671.970682
3.408855	0.204	628,650.871869
3.412257	0.2041	622,452.246529
3.415658	0.2041	584,379.222467
3.419058	0.204	571,268.777311
3.422460	0.2041	611,475.651042
3.425862	0.2041	629,918.563238
3.429262	0.204	605,457.643196
3.432663	0.2041	613,454.417940
3.436065	0.2041	600,412.729827
3.439465	0.204	548,555.825030
3.442867	0.2041	598,723.144877
3.446268	0.2041	629,903.097523
3.449668	0.204	580,362.633313
3.453070	0.2041	589,583.562457
3.456472	0.2041	602,331.908420
3.459872	0.204	611,005.849765
3.463273	0.2041	622,858.208093
3.466675	0.2041	600,241.095237
3.470075	0.204	608,047.367690
3.473477	0.2041	612,580.119450
3.476878	0.2041	578,737.468883
3.480278	0.204	630,744.564386
3.483680	0.2041	667,776.567913
3.487082	0.2041	601,610.624731
3.490482	0.204	602,088.663368
3.493883	0.2041	611,954.910534
3.497285	0.2041	585,767.742958
3.500685	0.204	582,828.833583
3.504087	0.2041	609,096.056344
3.507488	0.2041	615,511.511009
3.510888	0.204	602,063.587146
3.514290	0.2041	608,952.217174
3.517692	0.2041	616,838.194289
3.521092	0.204	596,956.360058
3.524493	0.2041	579,170.902787
3.527895	0.2041	582,426.143247
3.531295	0.204	606,548.663651
3.534697	0.2041	639,084.714681
3.538098	0.2041	661,747.117664
3.541498	0.204	651,435.291555
3.544900	0.2041	583,784.672390
3.548302	0.2041	570,271.772415
3.551702	0.204	595,367.473284
3.555103	0.2041	579,356.623431
3.558505	0.2041	569,348.575440
3.561905	0.204	575,626.792294
3.565307	0.2041	584,643.913958
3.568708	0.2041	583,179.331736
3.572108	0.204	608,798.034634
3.575510	0.2041	581,150.951143
3.578912	0.2041	564,246.559058
3.582312	0.204	592,290.180357
3.585713	0.2041	597,174.398288
3.589115	0.2041	587,552.926994
3.592515	0.204	576,626.140792
3.595917	0.2041	626,533.190418
3.599318	0.2041	643,567.199376
3.602718	0.204	621,244.332612
3.606120	0.2041	591,622.885865
3.609522	0.2041	553,320.285189
3.612922	0.204	579,595.086649
3.616323	0.2041	629,080.707673
3.619725	0.2041	639,611.488159
3.623125	0.204	608,525.311570
3.626527	0.2041	617,213.152032
3.629928	0.2041	618,218.521797
3.633328	0.204	563,029.879122
3.636730	0.2041	579,411.278752
3.640132	0.2041	582,166.466188
3.643532	0.204	527,819.040102
3.646933	0.2041	540,601.876754
3.650335	0.2041	592,048.969210
3.653735	0.204	605,645.889688
3.657137	0.2041	609,251.271121
3.660538	0.2041	617,867.774199
3.663938	0.204	585,852.984186
3.667340	0.2041	547,665.012933
3.670742	0.2041	581,125.515008
3.674142	0.204	598,457.807480
3.677543	0.2041	574,060.323369
3.680945	0.2041	585,458.235939
3.684345	0.204	592,387.351060
3.687747	0.2041	601,595.400055
3.691148	0.2041	614,421.556417
3.694548	0.204	596,272.288802
3.697950	0.2041	582,571.939487
3.701352	0.2041	593,460.014602
3.704752	0.204	608,238.860198
3.708153	0.2041	592,178.572956
3.711555	0.2041	578,947.508794
3.714955	0.204	603,657.627881
3.718357	0.2041	633,918.174217
3.721758	0.2041	633,431.350809
3.725158	0.204	616,583.027877
3.728560	0.2041	607,559.484995
3.731962	0.2041	620,119.462311
3.735362	0.204	597,653.190071
3.738763	0.2041	586,117.657786
3.742165	0.2041	620,266.987507
3.745565	0.204	583,493.159796
3.748967	0.2041	540,306.002664
