File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1126
Injection Number	8
Position	118
Comment	3M PN7444 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/2/2026
Injection Time	9:11:38 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000562
Time Max. (min)	59.999838
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	437,201.170633
Signal Max.	1,616,815,956.588420
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000562	n.a.	759,519.382668
3.003962	0.204	811,032.827682
3.007363	0.2041	903,795.865151
3.010765	0.2041	888,031.461979
3.014165	0.204	828,531.061112
3.017567	0.2041	794,093.738755
3.020968	0.2041	764,295.265088
3.024368	0.204	791,207.810591
3.027770	0.2041	824,883.233655
3.031172	0.2041	764,772.734583
3.034572	0.204	723,837.678901
3.037973	0.2041	764,733.779696
3.041375	0.2041	751,617.617835
3.044775	0.204	734,368.286100
3.048177	0.2041	775,028.601048
3.051578	0.2041	803,932.211888
3.054978	0.204	750,964.466326
3.058380	0.2041	679,018.236233
3.061782	0.2041	720,873.223914
3.065182	0.204	731,257.807044
3.068583	0.2041	718,973.590758
3.071985	0.2041	753,493.892978
3.075385	0.204	749,492.140529
3.078787	0.2041	773,009.325429
3.082188	0.2041	776,434.072364
3.085588	0.204	766,113.950824
3.088990	0.2041	731,042.071321
3.092392	0.2041	700,604.725929
3.095792	0.204	734,994.483439
3.099193	0.2041	726,715.113953
3.102595	0.2041	719,514.143103
3.105995	0.204	724,295.072557
3.109397	0.2041	741,399.186618
3.112798	0.2041	719,270.516041
3.116198	0.204	692,016.551239
3.119600	0.2041	698,550.449884
3.123002	0.2041	701,466.957755
3.126402	0.204	714,376.237197
3.129803	0.2041	706,788.839562
3.133205	0.2041	698,762.394719
3.136607	0.2041	749,128.146434
3.140007	0.204	792,249.746486
3.143408	0.2041	778,581.187837
3.146810	0.2041	761,241.407209
3.150210	0.204	722,933.355331
3.153612	0.2041	692,495.007406
3.157013	0.2041	704,465.414250
3.160413	0.204	743,326.380402
3.163815	0.2041	770,407.406492
3.167217	0.2041	762,853.295416
3.170617	0.204	731,191.467761
3.174018	0.2041	711,674.734469
3.177420	0.2041	728,195.443159
3.180820	0.204	715,064.726511
3.184222	0.2041	704,697.524362
3.187623	0.2041	721,155.188002
3.191023	0.204	710,492.262860
3.194425	0.2041	704,083.329563
3.197827	0.2041	719,405.069164
3.201227	0.204	751,412.419408
3.204628	0.2041	727,602.606837
3.208030	0.2041	696,774.506716
3.211430	0.204	707,129.981132
3.214832	0.2041	684,827.940122
3.218233	0.2041	693,622.354551
3.221633	0.204	702,099.894302
3.225035	0.2041	706,768.452642
3.228437	0.2041	688,460.874124
3.231837	0.204	646,150.155172
3.235238	0.2041	660,655.927052
3.238640	0.2041	689,259.194553
3.242040	0.204	711,623.854937
3.245442	0.2041	721,460.233693
3.248843	0.2041	692,225.309868
3.252243	0.204	690,784.951979
3.255645	0.2041	698,093.014347
3.259047	0.2041	661,934.275183
3.262447	0.204	656,002.566983
3.265848	0.2041	671,132.580222
3.269250	0.2041	685,131.725221
3.272650	0.204	666,061.387618
3.276052	0.2041	658,787.689352
3.279453	0.2041	697,894.849250
3.282853	0.204	710,368.980735
3.286255	0.2041	689,046.968415
3.289657	0.2041	667,205.580648
3.293057	0.204	683,198.881226
3.296458	0.2041	720,180.011214
3.299860	0.2041	725,431.202932
3.303260	0.204	677,469.567663
3.306662	0.2041	668,936.492857
3.310063	0.2041	665,775.682231
3.313463	0.204	655,401.382800
3.316865	0.2041	664,548.151561
3.320267	0.2041	700,484.173003
3.323667	0.204	730,199.495259
3.327068	0.2041	678,291.625704
3.330470	0.2041	681,070.375536
3.333870	0.204	709,051.852201
3.337272	0.2041	711,147.967629
3.340673	0.2041	752,392.195831
3.344073	0.204	688,589.947581
3.347475	0.2041	656,240.178303
3.350877	0.2041	698,148.782536
3.354277	0.204	621,813.164743
3.357678	0.2041	634,871.066832
3.361080	0.2041	694,184.449222
3.364480	0.204	662,189.558010
3.367882	0.2041	664,867.778146
3.371283	0.2041	667,618.671822
3.374683	0.204	672,465.403046
3.378085	0.2041	670,080.467315
3.381487	0.2041	669,851.289809
3.384887	0.204	685,857.095113
3.388288	0.2041	666,815.233290
3.391690	0.2041	680,495.042767
3.395090	0.204	681,484.474816
3.398492	0.2041	658,609.711540
3.401893	0.2041	673,592.815757
3.405293	0.204	683,790.500349
3.408695	0.2041	648,290.877683
3.412097	0.2041	636,088.290090
3.415497	0.204	644,259.521953
3.418898	0.2041	630,890.884338
3.422300	0.2041	683,128.799861
3.425700	0.204	709,553.713545
3.429102	0.2041	675,911.675036
3.432503	0.2041	702,907.221185
3.435903	0.204	707,841.362619
3.439305	0.2041	706,966.834194
3.442707	0.2041	712,072.777818
3.446107	0.204	709,008.771331
3.449508	0.2041	696,073.769381
3.452910	0.2041	685,394.764765
3.456310	0.204	694,436.379127
3.459712	0.2041	672,868.953514
3.463113	0.2041	670,550.173697
3.466513	0.204	686,656.494078
3.469915	0.2041	696,020.959656
3.473317	0.2041	706,725.240293
3.476717	0.204	703,044.939067
3.480118	0.2041	684,778.093909
3.483520	0.2041	681,125.463487
3.486920	0.204	701,854.212980
3.490322	0.2041	710,779.679829
3.493723	0.2041	707,227.206163
3.497123	0.204	688,480.399952
3.500525	0.2041	669,460.949815
3.503927	0.2041	691,461.312256
3.507327	0.204	718,083.877536
3.510728	0.2041	723,977.763137
3.514130	0.2041	699,083.217172
3.517530	0.204	669,710.515045
3.520932	0.2041	683,866.667570
3.524333	0.2041	697,984.496178
3.527733	0.204	678,098.063533
3.531135	0.2041	660,229.819740
3.534537	0.2041	659,275.728526
3.537937	0.204	654,155.975006
3.541338	0.2041	675,136.150290
3.544740	0.2041	680,148.945324
3.548140	0.204	636,697.160599
3.551542	0.2041	621,502.240302
3.554943	0.2041	629,345.666738
3.558343	0.204	631,389.010598
3.561745	0.2041	642,909.878052
3.565147	0.2041	640,254.237619
3.568547	0.204	649,656.954412
3.571948	0.2041	688,604.752669
3.575350	0.2041	723,183.058046
3.578750	0.204	728,295.466134
3.582152	0.2041	683,996.323765
3.585553	0.2041	675,317.460851
3.588953	0.204	679,392.126032
3.592355	0.2041	668,405.881742
3.595757	0.2041	669,230.108056
3.599157	0.204	650,156.762313
3.602558	0.2041	661,066.116564
3.605960	0.2041	690,290.110105
3.609360	0.204	679,907.933706
3.612762	0.2041	645,982.921722
3.616163	0.2041	633,081.073653
3.619563	0.204	654,492.057305
3.622965	0.2041	674,524.950873
3.626367	0.2041	684,170.309397
3.629767	0.204	702,056.504910
3.633168	0.2041	707,358.471812
3.636570	0.2041	673,625.513295
3.639970	0.204	632,883.955543
3.643372	0.2041	623,574.629441
3.646773	0.2041	609,980.810816
3.650173	0.204	658,369.204145
3.653575	0.2041	717,297.652851
3.656977	0.2041	671,925.467841
3.660377	0.204	648,400.805330
3.663778	0.2041	644,501.843219
3.667180	0.2041	602,784.717135
3.670580	0.204	640,387.113075
3.673982	0.2041	670,406.883213
3.677383	0.2041	662,506.322038
3.680783	0.204	684,388.001375
3.684185	0.2041	677,644.153346
3.687587	0.2041	666,090.392566
3.690987	0.204	666,118.434055
3.694388	0.2041	671,886.083707
3.697790	0.2041	676,880.287887
3.701190	0.204	657,202.893948
3.704592	0.2041	615,055.359039
3.707993	0.2041	637,244.284069
3.711393	0.204	680,373.364985
3.714795	0.2041	645,357.034837
3.718197	0.2041	619,286.048999
3.721597	0.204	641,802.207197
3.724998	0.2041	656,208.973243
3.728400	0.2041	642,994.535783
3.731802	0.2041	635,269.160048
3.735202	0.204	652,865.921843
3.738603	0.2041	659,565.004506
3.742005	0.2041	686,082.917593
3.745405	0.204	673,124.084428
3.748807	0.2041	616,811.541049
3.752208	0.2041	606,973.102246
3.755608	0.204	626,139.543677
3.759010	0.2041	680,507.597417
3.762412	0.2041	704,244.131360
3.765812	0.204	671,712.904197
3.769213	0.2041	679,042.697997
3.772615	0.2041	668,416.061189
3.776015	0.204	663,419.581050
3.779417	0.2041	671,341.253036
3.782818	0.2041	688,025.163591
3.786218	0.204	679,750.323984
3.789620	0.2041	624,152.651637
3.793022	0.2041	649,113.939955
3.796422	0.204	643,172.091009
3.799823	0.2041	601,855.085915
3.803225	0.2041	625,414.334518
3.806625	0.204	650,764.426965
3.810027	0.2041	658,442.907886
3.813428	0.2041	705,256.859900
3.816828	0.204	694,149.744752
3.820230	0.2041	640,134.600167
3.823632	0.2041	652,883.441793
3.827032	0.204	633,007.780129
3.830433	0.2041	652,394.704027
3.833835	0.2041	694,301.759822
3.837235	0.204	682,692.117369
3.840637	0.2041	677,124.476897
3.844038	0.2041	658,259.380502
3.847438	0.204	658,164.681927
3.850840	0.2041	673,575.538246
3.854242	0.2041	644,269.909070
3.857642	0.204	653,069.222620
3.861043	0.2041	709,940.247963
3.864445	0.2041	697,246.633940
3.867845	0.204	657,417.307618
3.871247	0.2041	635,757.193851
3.874648	0.2041	629,250.088576
3.878048	0.204	656,067.560637
3.881450	0.2041	666,672.145138
3.884852	0.2041	649,349.965771
3.888252	0.204	634,444.667995
3.891653	0.2041	641,032.843416
3.895055	0.2041	663,527.927114
3.898455	0.204	656,897.428860
3.901857	0.2041	636,869.681048
3.905258	0.2041	636,522.687064
3.908658	0.204	642,223.630995
3.912060	0.2041	645,830.218567
3.915462	0.2041	652,328.189490
3.918862	0.204	655,700.278782
3.922263	0.2041	647,053.151494
3.925665	0.2041	652,966.099239
3.929065	0.204	687,310.408784
3.932467	0.2041	691,400.872811
3.935868	0.2041	687,553.739813
3.939268	0.204	695,619.411906
3.942670	0.2041	674,607.359518
3.946072	0.2041	664,904.584288
3.949472	0.204	655,363.466705
3.952873	0.2041	651,329.515155
3.956275	0.2041	677,794.259899
3.959675	0.204	664,398.398779
3.963077	0.2041	631,976.336247
3.966478	0.2041	623,200.748503
3.969878	0.204	630,396.202721
3.973280	0.2041	663,813.696698
3.976682	0.2041	645,265.176634
3.980082	0.204	625,324.036468
3.983483	0.2041	651,164.094403
3.986885	0.2041	635,992.458822
3.990285	0.204	610,880.813401
3.993687	0.2041	604,317.473506
3.997088	0.2041	616,743.297358
4.000488	0.204	635,683.246162
4.003890	0.2041	634,990.635981
4.007292	0.2041	642,425.970265
4.010692	0.204	633,585.835435
4.014093	0.2041	641,130.217129
4.017495	0.2041	673,004.362090
4.020895	0.204	677,048.022721
4.024297	0.2041	680,434.325760
4.027698	0.2041	665,831.349705
4.031098	0.204	666,724.643288
4.034500	0.2041	641,812.207120
4.037902	0.2041	608,617.007214
4.041302	0.204	613,504.475399
4.044703	0.2041	651,693.532219
4.048105	0.2041	683,160.775074
4.051505	0.204	661,378.359992
4.054907	0.2041	634,448.889136
4.058308	0.2041	608,417.451739
4.061708	0.204	626,471.273574
4.065110	0.2041	671,530.480213
4.068512	0.2041	646,805.974380
4.071912	0.204	597,824.294556
4.075313	0.2041	594,135.702441
4.078715	0.2041	598,687.785472
4.082115	0.204	606,949.127702
4.085517	0.2041	649,727.146424
4.088918	0.2041	626,957.173919
4.092318	0.204	608,741.862220
4.095720	0.2041	641,262.386482
4.099122	0.2041	641,087.033913
4.102522	0.204	626,056.000977
4.105923	0.2041	599,680.329805
4.109325	0.2041	581,144.546509
4.112725	0.204	598,639.937262
4.116127	0.2041	634,860.336938
4.119528	0.2041	618,506.675255
4.122928	0.204	631,120.463810
4.126330	0.2041	640,862.176926
4.129732	0.2041	586,082.019680
4.133132	0.204	603,900.747417
4.136533	0.2041	597,173.874825
4.139935	0.2041	563,197.238804
4.143335	0.204	567,786.386616
4.146737	0.2041	563,243.163150
4.150138	0.2041	582,380.228305
4.153538	0.204	572,653.499025
4.156940	0.2041	526,239.795383
4.160342	0.2041	513,615.972626
4.163742	0.204	506,354.965635
4.167143	0.2041	523,004.158744
4.170545	0.2041	541,180.914443
4.173945	0.204	534,029.996673
4.177347	0.2041	527,687.576709
4.180748	0.2041	500,678.422870
4.184148	0.204	484,413.968605
4.187550	0.2041	523,226.810286
4.190952	0.2041	522,838.383829
4.194352	0.204	517,560.478335
4.197753	0.2041	530,771.030374
4.201155	0.2041	500,778.640502
4.204555	0.204	498,953.842116
4.207957	0.2041	502,395.755097
4.211358	0.2041	504,904.623767
